,source_article,updated_label
108,"Joe and Sam are at the race track betting on horses. Joe: ""You see that horse over there? He lost his last four races. I'm going to bet on him.""
Sam: ""Why? I think he will probably lose.""
Joe: ""No way, Sam. I looked up the horse's stats and he has won half his races in the past two years. Since he has lost three of his last four races, he'll have to win this race. So I'm betting the farm on him.""
Sam: ""Are you sure?""
Joe: ""Of course I'm sure. That pony is due, man...he's due!""",ad populum
109,"This is a deeply personal viewpoint of your own, however most people are not you, you need to provide objective reasons.",fallacy of red herring
110,"It's trivially true that game developers are free to do whatever they choose in many countries, but whether or not they *can* represent all women as large-breasted bimbos is an entirely separate question from whether or not they *should* do so.",fallacy of red herring
111,"My grandmother smoked for 80 years and died at 100. Obviously, smoking isn’t harmful.",faulty generalization
112,"""I used to have that haircut. Then my mom got a job.""",ad hominem
113,Or has a different view of what is 'bad',fallacy of red herring
114,"Our family has always been farmers, so we should always be farmers'' is an example of which logical fallacy?",fallacy of credibility
115,"“Do you want to live in a world where you can get breakfast from McDonald’s all day, or would you rather live in a dictatorship?”",false dilemma
116,"""To claim otherwise shows complete ignorance on the subject.""
This is a useless addition.
Debates can be frustrating, but these kind of sentences will only raise the general frustration level.",fallacy of red herring
117,the most destructive problems can be easily traced to capitalism,circular reasoning
118,Won't you give the abandoned puppy a home?,appeal to emotion
119,Royal's promoting their team for the next season by telling people to come join the team because everyone else has.,ad populum
120,"Sandy: ""You shouldn’t have that second piece of cake. It’s so fattening.""
Ralph: ""Didn’t you eat an entire tub of ice cream yesterday?""",ad hominem
121,"A: “We need to move towards self-driving cars as the next step in greater road safety.”

B: “But what about the self-driving Uber that didn’t stop and killed a pedestrian in Arizona?”",fallacy of extension
122,"Look, it doesn't matter whether or not you think America should build a wall on the border. The President thinks America should do it, so it's a good idea.",fallacy of credibility
123,"Good design and documentations is far more important for large team, big codebase development.",fallacy of red herring
124,"David: We have way too much police presence in this city.
Pete: What are you going to do about it?
David: Vandalize, loot, and perhaps a little arson.
",false causality
125,employs analogies between things that are not really alike,fallacy of logic
126,"African Americans have been oppressed by the white community and it is very apperent that is no act is passed then there will be another civil war, or more violence arising in the country.",circular reasoning
127,Socialism is the destruction of price information to OBSCURE the valuelessness of these workers to the consumer - so that they cannot make an informed decision of whether to pay the wage of the worker - it has not solved anything it has just forced the consumer to subsidize the valueless worker.,prejudicial language
128,Politician: Taxes are too hard to understand. The government must be tricking us and taking our money. We need to simplify our taxes!,intentional
129,He sometimes behaves violently when I am around him. I don't know what it is that I am doing to make him become so violent.,fallacy of logic
130,"""She is the best candidate for president because she is better than the other candidates!""",circular reasoning
131,"In government, arguing for raising taxes - ""We need more revenue to support the programs that we have. Children are our future. Let's support children.""",fallacy of red herring
132,"Medical Student: ""No one objects to a physician looking up a difficult case in medical books. Why, then, shouldn't students taking a difficult examination be permitted to use their textbooks?""",fallacy of logic
133,"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles. Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one. Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature. So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning.",faulty generalization
134,"Luke didn't want to eat his sheep's brains with chopped liver and brussel sprouts, but his father told him to think about the poor, starving children in a third world country who weren't fortunate enough to have any food at all.",appeal to emotion
135,"Every time I wash my car, it rains the next day. My car washing definitely affects the weather.",false causality
136,The reason our company never makes any money is because we have a buffoon running it!,ad hominem
137,"If the argument is supposed to be about whether or not we, as the American public should wear masks, and you argue: ""Asking an infant to wear a mask is ridiculous!""",fallacy of extension
138,"This argument is so absurd I almost regret dignifying it with a""but"" response. At best, the the original poster should rephrase the argument for hirself:
""I should find a full time job that adequately supports the lifestyle I wish to lead.""",fallacy of red herring
139,Eye-witness accounts are still considered strong evidence even today,fallacy of red herring
140,We now produce the best program in existence; four thousand businesses subscribe to our program.,ad populum
141,"Class society is the root of economic inequality, and replacing capitalist productive relations with a socialist socioeconomic formation [1] is the most effective way to eradicate economic inequality.",circular reasoning
142,"You can’t prove your candidate will win, so I assume he won’t",intentional
143,"""Every 0.008 seconds in the United States, a teen accidentally shatters his/her phone screen. You can help put an end to these devastating tragedies: donate now to my Kickstarter fund, the new Bubble-wrap Phone Case X.""",appeal to emotion
144,"When Squealer/Napoleon calls Snowball a 'traitor', and 'criminal'",ad hominem
145,With current memory capacities the space saved is negligible.,ad populum
146,Someone really should move this ‘deer crossing’ sign. This is a dangerous stretch of highway and the deer really should be crossing somewhere else.,false causality
147,Over 5 million Filipinos use our products. It’s time to switch to our brand now!,ad populum
148,"All useless laws, such as Reform Bill 13, should be repealed.",circular reasoning
149,"""You passed everyone in the class, so I should get extra credit"" is an example of",fallacy of logic
150,"Based on a survey of 1000 American homeowners, 99% of those surveyed have two or more automobiles worth on average $100,000 each.  Therefore, Americans are very wealthy.",faulty generalization
151,If the country is ever going to be safe from terrorists we have to close the borders.,false causality
152,Give me liberty or give me death,fallacy of credibility
153,"Mother: It’s bedtime Jane Jane: Mom, how do ants feed their babies? Mother: Don’t know dear, close your eyes now. Jane: But mama, do ant babies cry when they’re hungry?",fallacy of red herring
154,"I know the professor said the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.",ad populum
155,Because doctors smoke it must be a healthy choice.,fallacy of credibility
156,"The creation of a patch relies on the existence of contracts or ""enhancing the image of the developers"". Just the problem to be visible doesn't implies that someone is going fix it.",circular reasoning
157,"Boy , those sound like pretty terrible, epicly fascist (hint) robots.",fallacy of red herring
158,Which fallacy is used to attack a person's character,ad hominem
159,You can either start using plastic straws or continue killing ocean life with plastic pollution.,false dilemma
160,"Like many issues in the world, what seems to be the biggest ISSUE among the Climate Change DEBATE?",fallacy of extension
161,"Fred, the German, stole my wallet. Therefore, all Germans are thieves.",faulty generalization
162,Joe is firm in his principles. The reader admires Joe for not changing his ideas and opinions according to what is popular or advantageous.,appeal to emotion
163,"Bill: ""I believe that Obamacare is wrong."" Dave: ""Of course you would say that, you're a Republican."" Bill: ""What about the arguments I gave to support my position?"" Dave: ""Those don't count. Like I said, you're a Republican, so you have to support the party line. Further, you are just a lapdog to the Republican incumbent so you can get a job , so I can't believe what you say.""",ad hominem
164,"The museum's new gemstones and precious minerals exhibit needs more security guards. If you don't agree, then you must be planning to steal a piece of the exhibit",false dilemma
165,The political commercials described the mayor as a “monster” who “hated babies” but they never discussed his plans for the city.,ad hominem
166,"Source? If I stop paying taxes I am not free to leave, I am jailed. You lose a lot more than access to government services if you do not pay, which is why it is forceful and theft. I do not simply consent by being alive, since the government enforces a monopoly over these things I have no choice.",false causality
167,We should give the other applicant the job because he has a poor family and he needs to provide for them. It looks like he suffers a lot!,appeal to emotion
168,The model is in close agreement with the data.,intentional
169,"""Then we had a death. A 32-year-old woman hemorrhaged to death as a result of a cervical laceration. I finally realized, we weren't helping women - we were destroying them.""",appeal to emotion
170,"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one.",false dilemma
171,"IBM is a reputable organization, so all of its employees must be reputable.",faulty generalization
172,Why did you steal my keys?,intentional
173,"Person 1: You’re either for the war or against the troops.

Person 2: Actually, I do not want our troops sent into a dangerous war.",false dilemma
174,"That lady had a rough day today. She woke up late, she was not able to eat breakfast, she missed the train and was late for work. My heart aches for this poor lady.",appeal to emotion
175,"My minister says the Covid vaccine will cause genetic mutations. He has a college degree, and is a holy man, so he must be right.",fallacy of credibility
176,"Gus is Christian or Gus is politically liberal.
Gus is a Christian.
Therefore, Gus is not politically liberal.",fallacy of logic
177,"If you can't prove that Ken had an affair with the nanny, then he's been faithful to his wife.	",false dilemma
178,Affirmative Action can never be fair or just. You cannot remedy one injustice by committing another.,circular reasoning
179,All tall people are good basketball players.,faulty generalization
180,You don't see every infertile person committing suicide.,fallacy of red herring
181,"My friend told me to quit singing in the car since I have a ""bad voice."" She sings in the car all of the time!",ad hominem
182,"In the long run, any animosity for the transition will disappear after a couple generations of new ""common language speakers.""",ad populum
183,There is a global recession and more people are becoming hungry and desperate. Crimes of theft and robbery have been increasing at an alarming rate lately. The only way to solve this problem is by reinstating the death penalty,fallacy of red herring
184,I've had bad luck for so long that I'm bound to have good luck now.,false causality
185,"All men are mortal, and Socrates is a man, therefore Socrates likes dogs.",fallacy of logic
186,This is a supporting premise.,fallacy of red herring
187,"""Either you are for us, or you're against us!""",false dilemma
188,Warning!  Smoking may cause frostbite?,fallacy of red herring
189,"The “prophet” Nostradamus wrote about 500 years ago:

Beasts wild with hunger will cross the rivers,
The greater part of the battle will be against Hister.
He will cause great men to be dragged in a cage of iron,
When the son of Germany obeys no law.

Surely he must have had some vision of Hitler!",intentional
190,"Primitive people believed in gods to explain natural phenomena. We have science, and are not primitive anymore. Therefore, there is no God.",ad hominem
191,"“Eat great food at our restaurant, or eat sad, boring meals at home.”",false dilemma
192,Games like dodgeball are used to keep the students from getting overly dissatisfied. Take away dodgeball and you'll have a riot for the first few years at least.,fallacy of slippery slope
193,"You never even finished law school, so why should I trust you to watch my children?",ad hominem
194,A Mormon just believes.,ad populum
195,Mayor Blake wants to create more bicycle lanes in Lowell. Why is he forcing us to give up our cars and bike everywhere?,fallacy of extension
196,"because it is far easier to make large profits by deceit, conflict, theft, bribery, and murder than via hard work.",fallacy of red herring
197,"I was hesitant at first about the move to the lightning cable, having plenty of existing apple connector devices. I'm glad that they did, because phones can now be smaller, thinner, and I can charge my phone in the dark without scratching the edge.",fallacy of red herring
198,"I should receive an 'A' in this class. After all, if I don't get an 'A' I won't get the fellowship that I want.",appeal to emotion
199,"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered.",fallacy of logic
200,My way of responding to difficult patients is by far the most ethical because no other way is so ethical and it is the only way that is completely ethical.,circular reasoning
201,"I hope the art mural at 34th and Habersham will not be allowed. You open the gate for one, you open it for all and you'll have it all over the city. A person wanting to paint on buildings is nothing more than upscale graffiti. More than likely it will go too far.",faulty generalization
202,"My father smoked four packs of cigarettes a day since age fourteen and lived until age sixty-nine.  Therefore, smoking really can’t be that bad for you.",faulty generalization
203,"“If we allow gay people to get married, then the next thing you know people will be wanting to marry their pets!”",faulty generalization
204,The truth isn't always a bad thing to know.,fallacy of red herring
205,"During the early 2000s, the search for a cause of autism led to vaccines, though no scientific link has been found between the administration of vaccines and the onset of autism. The time that children are vaccinated and the time they're diagnosed do closely correlate, however, leading upset parents to assign blame to the immunizations, for lack of a better explanation.",false causality
206,The military being a stronger force does not mean we do not have the right to fight back against them if they are oppressors.,false causality
207,He can't be a great athlete; he didn't adopt the stray dog on the street.,ad hominem
208,There is evidence of his negligence worsening the event.,fallacy of red herring
209,"If you allow the students to redo this one test, they will always want to redo all future tests",faulty generalization
210,"If you don't want to buy the apple, you are free to walk out the store. That is a voluntary exchange. You can't go to someone's wallet, request money to keep yourself in power, and get mad when they say I worked for that money. That is an involuntary exchange. The government enforces a monopoly.",faulty generalization
211,"If Jesus is not God, how come his sacrifice is enough?",fallacy of red herring
212,"The monetary system is based upon units of account which are mostly created via debt instruments. So the interest on debt is always greater than the total supply of money units. Therefore, the debt is mathematically impossible to settle.",false causality
213,"Duke University has the best basketball player in the NCAA, therefore they will win the tournament this year.",faulty generalization
214,"I am going to bed or watching TV.  I am exhausted, so I will go to bed; therefore, I cannot watch TV.",fallacy of logic
215,"Bill lives in a large building, so his apartment must be large.""",fallacy of logic
216,"It is false that government does not benefit from taxes and the services they create, who benefits from tax is irrelevant. Until you can support that humans are incapable from surviving without these services AND only government is capable of providing them, there is no necessity for government.",fallacy of red herring
217,"A semicolon `;` consists of a comma `,` and a point `•`.",false causality
218,because capitalism is a pseudo-intellectual self-serving ideal promoted and advertised heavily by the wealthiest 0.1% of people.,fallacy of red herring
219,You visit a new country and the first person you meet in the airport is rude. You send a message to a friend back home that everyone in this new country is rude.,faulty generalization
220,"If we legalize pot, the next thing you know people will want to legalize meth and heroin.",faulty generalization
221,An attempt to gain a customer’s trust in an advertisement is referred to as,fallacy of credibility
222,"the choice to become religious demands a certain level of introspection and consciousness, something that is hard to demand from a child. The choice to become religious is personal, and not something one is forced into by for example parents.",fallacy of red herring
223,"I am voting for Pepitone for President because the rest of my family is voting for her, and I don't want to be the only one not doing so.",ad populum
224,claiming that an idea or belief is true simply because it is what most people believe,ad populum
225,"Every time I wash my car, it rains",false causality
226,you are not right,false causality
227,"Trump presents a dark image of America if Clinton is elected, with “Syrian refugees flooding in, illegal immigrants convicted of crimes staying.”",faulty generalization
228,"because the less intellectual a man is, the more love for money he will grow",fallacy of red herring
229,"dude, we have george in the chat, how low can the quality go from there ?",fallacy of red herring
230,"You support capital punishment just because you want an “eye for an eye,” but I have several good reasons to believe that capital punishment is fundamentally wrong…",fallacy of extension
231,"Mining may destroy the environment, but how about the people whose jobs will be affected? Should we ban it?",fallacy of red herring
232,"Your sister broke her arm, and then you broke your nose. So you assume that a sibling breaking a bone causes you to break one too.",false causality
233,"Joe and Sam are at the race track betting on horses. Joe: ""You see that horse over there? He lost his last four races. I'm going to bet on him.""
Sam: ""Why? I think he will probably lose.""
Joe: ""No way, Sam. I looked up the horse's stats and he has won half his races in the past two years. Since he has lost three of his last four races, he'll have to win this race. So I'm betting the farm on him.""
Sam: ""Are you sure?""
Joe: ""Of course I'm sure. That pony is due, man...he's due!""",false causality
234,"Parent: I really don’t want you to smoke pot. It’s still illegal, and could get you into trouble.
Child: Didn’t you smoke pot when you were my age? You must not think it’s a big deal.",ad hominem
235,"Transhumanism is a death cult worshiping a robotic race that can easily destroy them.
They often sell the idea of digital immortality through the mechanism of programming a robot with your memories.
This isn't impossible but optimistic transhumanists aren't skeptical enough about approaches.",fallacy of red herring
236,"President Clinton is an advocate of socialized medicine, which is a form of communism.",ad populum
237,"Shamus pointed a drunken finger at Sean and asked him to explain how so many people could believe in leprechauns if they're only a silly old superstition. Sean, however, had had a few too many Guinness himself and fell off his chair.",ad populum
238,"According to the university brochure, the majors with the most students are Economics and Computer Science. Therefore, you should declare one of these majors if you want to have a successful career.",ad populum
239,"Two of my best friends are really introverted, shy people, and they both have cats. That leads to me believe that most cat lovers are really shy.",faulty generalization
240,"I know you don't like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion
241,Spaces would use more characters than tabs in line,false causality
242,Either you eat this meatloaf or you eat nothing.,false dilemma
243,"""Advocates of legalized abortion predicted it would solve our social problems. Instead, this destruction of one-fourth of a generation has left a more violent society in its wake: Child abuse has exploded, from 167,000 estimated cases in 1973 to 2.4 million in 1989, according to the National Center of Child Abuse and Neglect - a 1,400% increase. Teen suicide, among non-aborted and thus presumably ""wanted"" children, has doubled. Violent crime has more than doubled.""",fallacy of extension
244,America: Love it or leave it,false dilemma
245,"""Cars cause more deaths than firearms do, so if we ban firearms we should also ban cars.""",fallacy of logic
246,It is the best we have so far.,circular reasoning
247,She's wearing red shoes. Her favorite color must be red.,fallacy of logic
248,"In our psychology department, half of the faculty believe that the new assistant professor shows serious problems in the area of ethics. The other half believe that the new faculty member shows no problems in the area of ethics. Obviously the new professor shows mild to moderate problems in the area of ethics.",fallacy of red herring
249,Is made by facebook,fallacy of red herring
250,"True Communism by human nature is unachievable.
Man will always seek more, greed is an instinct.",slothful induction
251,"Men score better on math than women do. Jerry is a man. Therefore, Jerry is better at math than Sylvia, who is a woman.",faulty generalization
252,Tik Tok is popular among teens because so many of them use it.,circular reasoning
253,The commonly-believed-in gods do have contradicting qualities.,circular reasoning
254,"Sometimes flu vaccines don’t work, therefore vaccines are useless.",faulty generalization
255,"P1. Lead poisoning can contribute to violent behavior.
P2. Many inner city children have dangerous levels of lead in their blood.
C. Therefore, violent crime in the inner city can be solved by curing the lead problem.",false causality
256,Why must you always take such a stupid and uninformed approach to ethics?,intentional
257,"I view any discussion concerning the limiting of therapy as morally wrong, that is why I do not accept it.",circular reasoning
258,he doesn't give us the freedom to fly like a bird (like a bird=without technical devices),fallacy of red herring
259,"Marty: Doc, I'm from the future. I came here in a time machine that you invented. Now, I need your help to get back to the year 1985.
Doc: I've had enough practical jokes for one evening. Good night, future boy!",intentional
260,"An effort to examine the construct is our action to find ""the meaning"".",fallacy of red herring
