index,text,label
27,"Before he died, poet Allen Ginsberg argued in favor of legalizing pornography. But Ginsberg's arguments are nothing but trash. Ginsberg was a pot-smoking homosexual and a thoroughgoing advocate of the drug culture.",ad hominem
28,tooling and abstraction has made workflows extremely personal unstandard and preferential,fallacy of red herring
29,"Six million read a paper""”must be excellent",ad populum
30,Have you stopped beating your wife?,intentional
31,Do you support freedom and the right to bear arms ?,intentional
32,You've got to donate to the hockey team. They are helping build schools in Uganda. Imagine all of those poor and hungry kids there.,appeal to emotion
33,"because those who work the hardest often earn the tiniest, which leads to a root social conflict that breeds indiscriminate hatred throughout our societies.",slothful induction
34,"""Oh, please. What would you know about labor laws? You don't even have a job.""",ad hominem
35,"""Andrea Starkk has written several books arguing that the media harms women when it comes to body image. But Starkk is an ugly, bitter person, so you shouldn't listen to her.""",ad hominem
36,“You should always do what you are being told because following the rules is important.”,circular reasoning
37,Taco is the best because it tastes better.,circular reasoning
38,"If we let the government ban SUVs, then they're going to want to ban trucks! Then they'll want to ban sports cars! Then they'll want to ban all cars!",faulty generalization
39,People are uneducated. Massive open online courses could theoretically address the flaw.,false causality
40,"I go to my front porch every morning and yell, ""May no tigers enter this house!"" and for 20 years, not a single tiger has entered my house. My tiger prevention strategy clearly works.",false causality
41,"Over 99 billion people served""¦",ad populum
42,"I like my steak rare. But I don't care for aardvark steak, even though it's the rarest steak in the world.",equivocation
43,"Y-combinator founder has noted that his and associate's choice of Lisp as basis for one of the first online webstores, had allowed them to beat others by (among other) implementing any new features way faster than competition due to the language used.",fallacy of credibility
44,Millions of people drink Diet Coke every year so it must be the best soft drink in the world.,ad populum
45,"If I don't take this A.P. class, then I won't do well on the exam. If I don't do well on the A.P. exam, then I can't get into a good college. If I can't get into a good college, then I'll never get a good job. If I can't get a good job, then I'm going to have to live in my parents' basement forever. Guess I'll sign up for the A.P. class.",faulty generalization
46,"It's just createElement and innerHTML repackaged for cargo cult JS ""ninjas"".",fallacy of red herring
47,Layla is a liar! She should not be trusted to be president for student council!,ad hominem
48,"It is possible to give a poor argument that the premise is a fallacy or falsely report fallacies with flippant comments in an attempt to delegitimize an argument.
 There is no community moderation on these reports thus illegitimate reports stay permanently on arguments.",prejudicial language
49,"During the first week of July ice cream sales climbed, and during the second week murder rates climbed. Therefore, ice cream inspires murder.",false causality
50,"Senator Jones wants a strong national defense, but I will not vote for him because he moved to Canada to avoid being drafted for war when he was in college.",ad hominem
51,"""My wife wants to talk about cleaning out the garage, so I asked her what she wants to do with our patio furniture. Now she's shopping for new patio furniture and not asking me about the garage.""",fallacy of red herring
52,Where did you hide the marijuana you were smoking?,intentional
53,Is it enough that the software is affordably cheap.,fallacy of red herring
54,"Chihuahuas are good inside dogs. German Shepherds are dogs; therefore, German Shepherds would be good inside dogs, too.",faulty generalization
55,"This is roughly translatable to the (false) statement: ""The town, eating the seed crop harvested this season, which was set aside for planting anew at maximum efficiency in the new Spring season, will reduce poverty more."" Only by a sophist trick of the mind does it APPEAR to reduce poverty more.",ad hominem
56,"People generally like to walk on the beach. Beaches have sand. Therefore, having sand floors in homes would be a great idea!",fallacy of logic
57,The picture on Jim's old TV set goes out of focus. Jim goes over and strikes the TV soundly on the side and the picture goes back into focus. Jim tells his friend that hitting the TV fixed it.,false causality
58,I guess I should buy my 12-year-old daughter an iPhone. Everyone at her new school has one and I want her to fit in with the other kids.,ad populum
59,"All useless laws, such as Reform Bill 13, should be repealed.",circular reasoning
60,"African Americans have been oppressed by the white community and it is very apperent that is no act is passed then there will be another civil war, or more violence arising in the country.",circular reasoning
61,"I'm know Joe Bob's my boss, but I'm not going to take orders from someone who can't even dress professionally for work.",ad hominem
62,"The number of off-leash dogs I've seen in Livingston is completely unacceptable. Let's make our streets safe again by addressing this dog problem, before our city becomes a haven for criminals.",fallacy of red herring
63,"Everybody understands that the values in New York City are socially liberal and pro-abortion and pro-gay marriage,' he said. 'And focus on money and the media.",faulty generalization
64,That which is illegal may be just.,fallacy of red herring
65,"""Vote for Smith or live through four more years of higher taxes.""",false dilemma
66,Student tells his professor that he thinks some of Donald Trump's positions have merit. Professor says he can't believe that the student believes in support racism.,fallacy of extension
67,"You said that because an authority thinks something, it must therefore be true.",fallacy of credibility
68,"One must believe that with inferences made from the observable geological record, you may use the argument: you weren't there. One must believe that a criminal to be convicted, you must have been caught in the act. One must believe have any source to back your multiple claims.",fallacy of credibility
69,"Either you can save your money to buy a new car for yourself, or you can just take an Uber around for the rest of your life.",false dilemma
70,"Every time my brother Bill accompanies me to Fenway Park, the Red Sox are sure to lose",false causality
71,"Look, you are going to have to make up your mind. Either you decide that you can afford this stereo, or you decide you are going to do without music for a while.",false dilemma
72,Of course you don't like rap or hip-hop music! You wear the same clothes every day and have zero fashion sense.,ad hominem
73,"when you actually try hard (like tucha did, for example) and see that someone else is not trying hard, you stop trying hard and - ultimately - skip the game",fallacy of slippery slope
74,"""I can't trust that doctor's advice on how to raise my child. He has never been a mother.
This is an example of",ad hominem
75,There's no point listening to you. Everybody knows you're just a little do-gooder.,ad hominem
76,"""Don't listen to Mr. Fingers when he says walk in the hallways. How can you trust someone who wears bow ties?""",ad hominem
77,"This is the philosophy section, not religion. GTFO.",fallacy of red herring
78,"Whatever is less dense than water will float, because such objects won't sink in water.",circular reasoning
79,His opinions about sports mean nothing - he can barely tie his own shoes!,ad hominem
80,It is easier to call it Abortion than Murder to deal with psychological trauma,fallacy of red herring
81,Culture affects the way different races act and live their lives.,circular reasoning
82,"""Cars cause more deaths than firearms do, so if we ban firearms we should also ban cars.""",fallacy of logic
83,"Bill and Jill are arguing about cleaning out their closets: 
 Jill: ""We should clean out the closets. They are getting a bit messy."" 
 Bill: ""Why, we just went through those closets last year. Do we have to clean them out everyday?"" 
 Jill: ""I never said anything about cleaning them out every day. You just want too keep all your junk forever, which is just ridiculous.""",fallacy of extension
84,"“Caldwell Hall is in bad shape. Either we tear it down and put up a new building, or we continue to risk students’ safety. Obviously we shouldn’t risk anyone’s safety, so we must tear the building down.”",false dilemma
85,"If we use just one more can of hairspray this month, earth as we know it will no longer exist.",faulty generalization
86,"My minister says the Covid vaccine will cause genetic mutations. He has a college degree, and is a holy man, so he must be right.",fallacy of credibility
87,"""I believe that PNoy is the Abraham Lincoln of the Philippines.""",fallacy of logic
88,"""If you have never been born again, eternal separation from God in the Lake of Fire awaits you. If you are born again, then being with the Lord in heaven forever is your destiny. Which do you choose?""",appeal to emotion
89,Abraham believed slavery was morally wrong,fallacy of credibility
90,"""Russia has a terrible human rights record."" ""Well, the United States has done plenty of bad things."" -the President when confronted about Russia's human rights abuses.",fallacy of red herring
91,"Ralph Nader and Pat Buchanan are banging at the doors, and the political establishment, consisting of both politicians and the media, seems determined not to let them in on the grounds that they have no public support.",circular reasoning
92,The commonly-believed-in gods do have contradicting qualities.,circular reasoning
93,"Don't ever gamble! Once you start, you won't be able to stop, and you'll end up bankrupt.",faulty generalization
94,A right to life that is a right to safety is a call for a police state. There is no right to government guaranteed safety. Seeking it is sowing the seeds of our own destruction.,fallacy of slippery slope
95,"Don: If you drink alcohol, it will kill any virus you might have.
 Tony: What evidence do you have to support that? 
 Don: I don't need evidence. It is common sense.",intentional
96,Cats are better.,circular reasoning
97,"In the debate at Harvard, one of the Harvard team's debaters rebutted Samantha Booke's argument that Henry David Thoreau, a Harvard graduate, proposed civil disobedience as a means to protest unjust laws. The Harvard debater rebutted her by saying, ""Thoreau could never know that Adolph Hitler would agree with him."" A BETTER rebuttal would have been to""¦",fallacy of credibility
98,"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'America's streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.'",false causality
99,"Justin Beiber wears Ray Bans, so you should buy a pair to wear in the sun.",ad populum
100,Maybe is not related with the original topic. I was just testing the new related argument feature :'),fallacy of red herring
101,Jimmy isn't at school today. He must be on a family trip.,false causality
102,"When an advertiser tries to make a connection with the audience emotionally through sappy stories, music, sad puppies, etc...",appeal to emotion
103,or group in order to discredit an idea with which the person or group is associated; distracts the reader from the real issue,ad hominem
104,"Currency is a motivational tool for people to get rewards for their hard work. If someone doesn't get any reward for their work, why should they do it? Human brains work on a reward system, and money becomes a learned motivator so it therefore becomes motivation if money is a reward for a task.",false causality
105,"Dr. Simmons: I am working on a way to lengthen the human lifespan to about 200 years.
 Misty: You are declaring war on Mother Nature, and Mother Nature always wins!",equivocation
106,"This is a deeply personal viewpoint of your own, however most people are not you, you need to provide objective reasons.",fallacy of red herring
107,"I do agree that science is an evidence based progress, because for all the progress that have been done in world history, there had been a path to follow. Since investigations about a theory or a hypotesis to experiment to prove that a claim is true or discover new things.",fallacy of red herring
108,Running the government is like running a business. You can't keep running into debt and expect to be successful.,faulty generalization
109,"From a historical societal standpoint, it is also undesirable. Which begs the question: From what group standpoint is homosexuality desirable? I request a group standpoint because from individual standpoints, any number of arguments can be made regarding any topic.",fallacy of red herring
110,But Everybody Does it!,fallacy of red herring
111,Asking a respected scientist to weigh in on matters of economics is what fallacy?,fallacy of credibility
112,"Jamila is running for class president. In her campaign speech she says, ""Xavier does not deserve to win. He is a smoker and He cheated on his reading quizzes last year."" What fallacy has Jamila committed?",ad hominem
113,We should give the other applicant the job because he has a poor family and he needs to provide for them. It looks like he suffers a lot!,appeal to emotion
114,What type of appeal taps into the desire to belong to a group?,ad populum
115,People who kill if they are deprived of sex should probably be put in prison.,fallacy of red herring
116,You can't give me a C. I'll lose my scholarship.,appeal to emotion
117,"""I see no reason to listen to Smith. Anything he says will be influenced by his interest in civil rights. His statements are bound to be distorted and unreliable.""
 
 What logical fallacy is used in the statement above?",ad hominem
118,Justin's mom gets his phone bill and he has gone over the limit. He begins talking to her about how hard his math class is and how well he did on a test today.,fallacy of red herring
119,"Then what about China then. China can pollute this world more than anybody. Why would you breakdown your own people to not pollute, if China is going to continue doing what the are doing. Pollution is an earth and humanity issue, not just a country issue.",fallacy of red herring
120,"""My uncle eats pizza and cake and he is thin. Pizza and cake aren’t the cause of obesity. "" is an example of",faulty generalization
121,Vi is coming as builtin in linux systems,false causality
122,Obama got a free noble peace prize.,fallacy of red herring
123,"When the judge asked the defendant why he hadn't paid his parking fines, he said that he shouldn't have to pay them because the sign said 'Fine for parking here' and so he naturally presumed that it would be fine to park there.",equivocation
124,"Everything I say is true. This is true because I said it, and everything I say is true.",circular reasoning
125,"Of course, your minister says he believes in God. He would be unemployed otherwise.",ad hominem
126,"I don't believe in God. One reason is that I think he is evil. And by the way, there is no such thing as ""evil;"" it is just our evaluation of what we believe is wrong.",fallacy of logic
127,Are you one of those stupid religious people that reject science?,intentional
128,"company's slogan ""Expect More. Pay Less.""",appeal to emotion
129,"I. Many seats in the private medical colleges in the state have remained vacant this year.
II. The government medical colleges in the state could accommodate all the students who sought admission this year.",false causality
130,"I don't think we need to talk to the people in the Justice Department about the practicality of enforcing this bill. The Justice Department is full of Democrats, and they are already biased against it.",ad hominem
131,"I know you don't like the cat sweater that Grandma knitted for you, but she worked so hard on it, and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion
132,"MeowMeowTweet is American-made skincare. I used it, and it gave me zits. American-made skincare gives people acne.",faulty generalization
133,"If we let the government implant tracking devices in criminals, it's not going to stop there! They're going to want to track school children and eventually everyone!",faulty generalization
134,"All Catholics are Christian.
 All Christians are Jesus lovers.
 Therefore, all Jesus lovers are Catholic.",fallacy of logic
135,"""In the business meeting, she proposed a new advertising plan for the dog food brand, but I found out she actually hates dogs. How can we trust her advertising skills?""",ad hominem
136,"Consider the following exchange:
 Omar: I think capital punishment is a necessary component of our justice system and should remain legal.
 Kayla: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.
 Of what fallacy is Kayla guilty?",fallacy of extension
137,"“It’s wrong to tax corporations—think of all the money they give to charity, and think of the costs they already pay to run their businesses!”",appeal to emotion
138,"Zebedee: What is your view on the Christian God?
 Mike: I don't believe in any gods, including the Christian one.
 Zebedee: So you think that we are here by accident, and all this design in nature is pure chance, and the universe just created itself?
 Mike: You got all that from me stating that I just don't believe in any gods?",fallacy of extension
139,a lifelong Republican who was against Obamacare until it saved his life.,appeal to emotion
140,"the justice system is not about punishment or revenge. It is about preventing crimes from occurring through deterrents and through reforming criminals. The death penalty has been shown to not work as a deterrent, and it provides no opportunity for reform.",circular reasoning
141,"Speaker 1: We should have single payer, government funded health care. That would be the best solution to the health care crisis in our country.
Speaker 2: You voted for Bernie Sanders. You’re probably a communist.",ad hominem
142,Science fiction books are not worth the time it takes to read them.,faulty generalization
143,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",false dilemma
144,Appeals to an authority that has little to nothing to do with the argument,fallacy of credibility
145,"""Four legs good, two legs bad""",ad populum
146,"Even if they had feelings, a vegan lifestyle would be bettter for them because less would get killed. It takes more plants to make meat than if we just eat the plants.",fallacy of red herring
147,"I know that our TV advertisements are more effective than radio. The numbers show that we hit twice the audience with TV, and our focus groups remember the TV commercial 38 percent more than the radio slot.",faulty generalization
148,Either you are with me or you are against me.,false dilemma
149,If aliens want to kill us we don't have the technology to defend ourselves,fallacy of red herring
150,Too much candy can cause cavities. You should avoid eating any candy unless you want cavities.,false dilemma
151,"Without proper transparency individuals in organizations begin to ""cover their own ass"" and worry about their position in the long term, causing them to cut deals with those favorable to their own situation rather than favoring the organization or its constituents.",fallacy of slippery slope
152,"James' mom is concerned when she finds out that he skipped class one day. She tells him that she is concerned that since he skipped one class, he will start skipping more frequently. Then he will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of his life. What type of fallacy has James' mom committed?",faulty generalization
153,Sandra is an angel from heaven. She gave me a free lunch today.,fallacy of logic
154,That which is unjust may be legal.,fallacy of red herring
155,"Verizon advertising the newest Samsung Galaxy phone, claiming that everyone else who has bought it loves the new product.",ad populum
156,"Only in a few narrow and rare cases, such as rap labels. When it comes to education, housing, wealth and most other major areas, the disparity in power is so great as to make those few rare cases practically irrelevant.",fallacy of red herring
157,"Not believing in the literal resurrection of Jesus because the Bible has errors and contradictions, is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank.",fallacy of logic
158,"If we control Covid-19 with measures that are too draconian, we could wind up with a government that regularly clamps down on its citizens, with bar codes on wrists and cameras in your houses that watch you all the time.",faulty generalization
159,"Calling criticism an issue is the real issue. Hate towards JS is often backed up with real arguments, like it's inconsistency (e.g. pointed out in Gary Bernhardt's Wat talk), inefficience when deploying large applications (having to minify the files or use webpack to minimize the size), and more",fallacy of red herring
160,"I hope the art mural at 34th and Habersham will not be allowed. You open the gate for one, you open it for all and you'll have it all over the city. A person wanting to paint on buildings is nothing more than upscale graffiti. More than likely it will go too far.",faulty generalization
161,"It forces the burden of taxes to fall equally on the poor as the super wealthy; and it is therefore a step backwards into further inequality. With great power comes great responsibility, and power is wealth in a capitalist society. Only progressive taxes are therefore just.",ad populum
162,"""To claim otherwise shows complete ignorance on the subject.""
 This is a useless addition.
 Debates can be frustrating, but these kind of sentences will only raise the general frustration level.",fallacy of red herring
163,"All cats are animals.
 Some pets are cats.
 Therefore, some pets are not animals.",fallacy of logic
164,"Colin Closet asserts that if we allow same-sex couples to marry, then the next thing we know we'll be allowing people to marry their parents, their cars and even monkeys.",faulty generalization
165,"""Either you pass this test, or you fail it."" Laughed Sr Malak",false dilemma
166,"""Coronavirus originated in China, therefore all Chinese people are sick.""",fallacy of extension
167,"Tim: Boss, you heard my side of the story why I think Bill should be fired and not me. Now, I am sure Bill is going to come to you with some pathetic attempt to weasel out of this lie that he has created.",ad hominem
168,We shouldn't let teenagers keep their phones just because they're upset at losing them; most babies cry when you take their toys away too.,fallacy of logic
169,They clutter the code.,false causality
170,"Which type of appeal is used in the following phrase from the Declaration of Independence: “He has plundered our seas, ravaged our coasts, burned our towns, and destroyed the lives of our people”?",appeal to emotion
171,"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
 
 Bob: You couldn't be more wrong; the music industry is doing just fine. I can't believe you think the government should be allowed to regulate what I share with my ""friends."" No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension
172,"Mayor: During my previous term as mayor my staff and I spent a great deal of time focusing on our city's economy, and unemployment reached an all-time high as a result. So clearly you should support my re-election campaign if you are among those still looking for a job.",fallacy of logic
173,Tik Tok is popular among teens because so many of them use it.,circular reasoning
174,"""All students everywhere should use clear backpacks because bad things happen at schools where students don't use clear backpacks.""",fallacy of extension
175,Eye-witness accounts are still considered strong evidence even today,fallacy of red herring
176,Every severe recession follows a Republican Presidency; therefore Republicans are the cause of recessions.,false causality
177,"I know you don't like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion
178,"A major wrong has been committed by the local government and several people go to protest it, waving signs and blocking traffic. ""Both sides are just as bad,"" rants your uncle. What fallacy has he committed?",faulty generalization
179,Some people say that the coronavirus is dangerous. Others say that it is not dangerous. That must mean that some coronavirus vaccinations are fine while others are not.,fallacy of red herring
180,"Everyone knows that Japanese DVD players are the best. After all, the outsell American players two-to-one.",ad populum
181,It's easier to manage a large team or a big codebase.,fallacy of red herring
182,"""She is the best candidate for president because she is better than the other candidates!""",circular reasoning
183,"If every human was polled ""Is the taking of a life immoral?"", almost all of them would say that it is immoral.",ad populum
184,You can mix tabs with spaces which is even worse than having two separate indentation witdths,fallacy of red herring
185,"""People who don't support the proposed state minimum wage increase hate the poor.""",fallacy of extension
186,"Jen: Don't you realize that all this drinking you are doing is making your family miserable?
 Bridget: Yes, I do.
 Jen: Then what are you doing about it?
 Bridget: Drinking to forget.",false causality
187,"Karen is a thirty-something-year-old female who drives a mini-van, lives in the suburbs, and wears mom jeans. Is Karen more likely to be a woman or a mom?",faulty generalization
188,"If you are not with us, you are against us.",false dilemma
189,"A fallacy of relevance where someone rejects or criticizes another person's view on the basis of personal characteristics, background, physical appearance, or other features irrelevant to the",ad hominem
190,"My opponent raises a good point, but can we really trust him? I mean, he moved to this town only two years ago and everyone knows that his wife left him.",ad hominem
191,"Java uses JIT compilation, that compiles the VM bytecode into native processor language. Hardware-awareness of JIT compiler can make the native code even more efficient on a specific platform than the statically compiled one from C++.",ad populum
192,I think that businesses should not have to limit the amount of pollutants they release into the atmosphere because Rush Limbaugh says that there is no real evidence for industrial pollutants causing the Greenhouse Effect.,fallacy of credibility
193,"Today late for ten minutes, tomorrow late for an hour, and then someday you will simply cease to show up.",faulty generalization
194,"That lady had a rough day today. She woke up late, she was not able to eat breakfast, she missed the train and was late for work. My heart aches for this poor lady.",appeal to emotion
195,"Witchcraft remains our most urgent spiritual problem because it threatens
our very souls.",circular reasoning
196,"True Communism by human nature is unachievable.
 Man will always seek more, greed is an instinct.",slothful induction
197,Existing wrongs and imbalances can not be - in reasonable time - fixed by means of equal opportunities (level playing field). Therefore positive discrimination is a necessary lesser evil.,circular reasoning
198,"It was a rainy day in Harvard Square, so the foot traffic through the atrium from Mass Ave to Mount Auburn Street was heavier than it might have been if the sun were out. A lot of people were carrying umbrellas, which most of them furled inside. I had always thought that Cambridge, in the vicinity of Harvard, might have had the most umbrellas per capita of any place in the world. People used them when it snowed. In my childhood, in Laramie, Wyoming, we used to think people who carried umbrellas were sissies.",faulty generalization
199,"Commodities are produced for exchange, under capitalism, and decisions as to the production and distribution of commodities are made in accordance with maximum profit as opposed to maximum social benefit.",false causality
200,Confession is good for the soul.,faulty generalization
201,"""My three decades of experience in public service, my tireless commitment to the people of this community, and my willingness to reach across the aisle and cooperate with the opposition, make me the ideal candidate for your mayor."" Which appeal is the primary appeal used in this quote?",fallacy of credibility
202,"Common web development languages (Namely JS and PHP) lack any kind of static typing, making traditional OO design impractical, necessitating the use of large frameworks to make up for deficiencies of the language.",fallacy of red herring
203,Either you text your friend or you don't have any fun at all.,false dilemma
204,"""It must be cool because everyone is doing it""¦"" said Kinza",ad populum
205,The candidate for mayor was a really bad baseball player in college! Don't vote for him!,ad hominem
206,"""You're not feeling well because you use your phone so much.""",false causality
207,They are both sub-par methods to layout code.,fallacy of red herring
208,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!",appeal to emotion
209,"Audrey: I am a human being. I am not a cyborg from the future here to destroy humanity.
 
 Fred: Prove that you are human! Cyborgs don't pass out when they lose a lot of blood. Here's a knife.
 
 Audrey: Get to bed, Freddie. And no more SYFY channel before bed!",intentional
210,"Officer, I was only driving as fast as everyone around me. You can't give me a ticket for doing what every other driver on the road was also doing.",ad populum
211,I'm moving to Connecticut because it is the richest state in the nation and I'm tired of being poor.,false causality
212,"Brad's mother asked him why he wasn't trying out for the school play. He responded: ''Because if Tom gets the male lead, which he always does, then I'll only be in the chorus, and it's not worth being in the play if I'm only going to be in the chorus.'' This is an example of which logical fallacy?",faulty generalization
213,"Senator Jill: ""We'll have to cut education funding this year.""
 Senator Bill: ""Why?""
 Senator Jill: ""Well, either we cut the social programs or we live with a huge deficit and we can't live with the deficit.""",false dilemma
214,"The temperature has dropped this morning, and I also have a headache. The cold weather must be causing my headache.",false causality
215,"Sometimes kids ride skateboards and fall off, breaking their arms or legs. Clearly, riding a skateboard is extremely dangerous. Don't you think skateboards should be banned?",appeal to emotion
216,"If we ban Hummers because they are bad for the environment eventually the government will ban all cars, so we should not ban Hummers.",faulty generalization
217,Spaces would use more characters than tabs in line,false causality
218,"because massive income inequality is the almost unavoidable consequence of the minute laws and rules that make up the capitalist system, which are written by the wealthy.",fallacy of red herring
219,"Whilst rallying support for his plan to fundamentally undermine citizens' rights, the Supreme Leader told the people they were either on his side, or they were on the side of the enemy.",false dilemma
220,"In open-source projects, you'll get more contributions if project is in less painful language. Most popular languages are quite painful.",fallacy of red herring
221,"""Sir, please let me take the exam. I was late because I need to cook our breakfast and wash the dishes.""",appeal to emotion
222,"John: I think we should hire someone to redesign our website.
 Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run.",fallacy of extension
223,Taxes go towards stuff that benefits the taxee.,fallacy of red herring
224,"The number of pirates in existence decreased as the global average temperature rose. Therefore, we can conclude that hotter weather reduces piracy.",circular reasoning
225,Variable indentation breaks the intended formatting of the author.,fallacy of red herring
226,4 percent of Americans believe that lizard people control politics.,intentional
227,The right to tickle arms should be restricted.,fallacy of red herring
228,I can tell this movie is going to be terrible; the opening credits aren't even over yet!,faulty generalization
229,"Maury: Please put all my chips on red 21.
 Dealer: Are you sure you want to do that? Red 21 just came up in the last spin.
 Maury: I didn't know that! Thank you! Put it on black 15 instead. I can't believe I almost made that mistake!",false causality
230,This could potentially increase vaccine-resistant pathogens.,fallacy of red herring
231,"Thier sexual relationships and rights over thier own body would be subject to laws and regulations, such as forced sexual health examinations. This conflict with common law is why this practoce has been stopped in the past",fallacy of red herring
232,"Minds, like rivers, can be broad. The broader the river, the shallower it is. Therefore, the broader the mind, the shallower it is.",fallacy of logic
233,Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipino support it.,ad populum
234,You say that Coach Smith pressured teachers to give his students passing grades. But don't you agree that athletics are important to schools? Don't they build character?,fallacy of red herring
235,"This is an example of what?
 ""Attacks the arguer instead of the argument""",ad hominem
236,"A father tells his son not to start smoking as he will regret it when he is older, and the son points out that his father is a smoker. This does not alter the fact that his son may regret smoking when he is older.",ad hominem
237,"Argues that ""we've always done it that way."" In other words, because something worked in the past, it is the correct thing to do.",fallacy of credibility
238,Most skilled developers can learn new programming languages easily.,false causality
239,"Some students who attend tutoring over the summer are not very intelligent. Since Beth attended summer tutoring, she is not a very good student.",faulty generalization
240,"When you are late getting home-past curfew-you distract your parents by talking to them about the weather-how cold it is, or how rainy it is.",fallacy of red herring
241,"Many useful vim plugins cause bloat and increase startup time, like ghcmod.",fallacy of red herring
242,"""Who is Sam Brownbeck, and why is he saying all those terrible things about rock lyrics? On Nov. 6, Brownbeck, an ambitious Kansas Republican ... convened a hearing billed as ""An Example of Violent Music Lyrics on Youth Behavior and Well Being ..."" Brownbeck's subcommittee, which supervises schools and streets in D.C., has much more important work to do, but the senator, who will run again in 1998, is clearly searching for an issue to give him national prominence.""",ad hominem
243,A parent who says that the teacher doesn't know how to teach because she graduated from a community college.,ad hominem
244,"An advertisement asking people to give to St. Jude Research Center to help children struggling with cancer. You wouldn't want to let these children die, right?",appeal to emotion
245,"Speaker 1: I think we should have single payer, universal, health care.
 Speaker 2: Communist countries tried that. We don't want America to be a communist country. We shouldn't have single payer health care.",fallacy of extension
246,"If this client is competent to stand trial, she will certainly know the answers to at least 80% of the questions on this standardized test. She knows the answers to 87% of the test questions. Therefore she is competent to stand trial.",fallacy of logic
247,"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine.",fallacy of credibility
248,There are some dank memes out there that would suggest otherwise,circular reasoning
249,"My political candidate gives 10% of his income to the needy, goes to church every Sunday, and volunteers one day a week at a homeless shelter. Therefore, he is honest and morally straight.
 Explanation: What information was left out of the example is that this same candidate gives 10% of his income to needy prostitutes in exchange for services, goes to the bar every Sunday after church (and sometimes before), and only works at the homeless shelter to get clients for his drug dealing business.",intentional
250,"""You cannot detain me. I am still grieving my cat's death.""",appeal to emotion
251,"""I knew him in high school and he almost flunked out. He can't be a good choice for mayor.""",ad hominem
