text,label,splitted
"Girl:"" I'm worried that my friend is mad at me."" Friend: ""I wonder what you call a male lady bug?""",fallacy of logic,"Girl:"" I'm worried that my friend is mad at me.""[SEP]Friend: ""I wonder what you call a male lady bug?"""
The news is fake because so much of the news is fake.,circular reasoning,The news is fake because[SEP]so much of the news is fake.
You should certainly be the one who washes the dishes -- you are just so good at it!,appeal to emotion,You should certainly be the one who washes the dishes --[SEP]you are just so good at it!
There's no point listening to you. Everybody knows you're just a little do-gooder.,ad hominem,There's no point listening to you.[SEP]Everybody knows you're just a little do-gooder.
"If you don't buy the warranty for your chromebook, you could find yourself without one for the rest of the schoolyear and having to pay thousands of dollars in expensive repairs",appeal to emotion,"If you don't buy the warranty for your chromebook,[SEP]you could find yourself without one for the rest of the schoolyear and having to pay thousands of dollars in expensive repairs"
"Argues that because something is popular, it must be right.",ad populum,"Argues that because something is popular,[SEP]it must be right."
I can’t take home a B in this course. My parents will be angry with me.,appeal to emotion,I can’t take home a B in this course.[SEP]My parents will be angry with me.
"Laura is the class president. She believes that the class should sponsor a dance as a fundraiser. Then she learns that a group of girls that she doesn't like also support the idea of a dance as a fundraiser. So, Laura changes her mind and decides that the class should plan a race instead.",faulty generalization,"Laura is the class president.[SEP]She believes that the class should sponsor a dance as a fundraiser.[SEP]Then she learns that a group of girls that she doesn't like also support the idea of a dance as a fundraiser.[SEP]So, Laura changes her mind and decides that the class should plan a race instead."
blame opponent's policy for the country's problems,false causality,blame opponent's policy for the country's problems
"If the state can require car seats for small children and infants, they can just as easily require mothers to breast-feed instead of using formula.",fallacy of logic,"If the state can require car seats for small children and infants,[SEP]they can just as easily require mothers to breast-feed instead of using formula."
"These test results are clearly wrong, and it must be either because the client was malingering or because I bungled the test administration. Taking another look at the test manual, I see now that I bungled the test administration. Therefore the client was not malingering.",false dilemma,"These test results are clearly wrong, and it must be either because the client was malingering or because I bungled the test administration.[SEP]Taking another look at the test manual, I see now that I bungled the test administration.[SEP]Therefore the client was not malingering."
“four out of five dentists agree that brushing your teeth makes your life meaningful”,fallacy of credibility,“four out of five dentists agree that brushing your teeth makes your life meaningful”
"According to the Supreme Court, we have a right to abortion. Therefore, it is right to have an abortion.",equivocation,"According to the Supreme Court, we have a right to abortion.[SEP]Therefore, it is right to have an abortion."
"If you are not with us, you are against us.",false dilemma,"If you are not with us,[SEP]you are against us."
"Fred, the German, stole my wallet. Therefore, all Germans are thieves.",faulty generalization,"Fred, the German, stole my wallet.[SEP]Therefore, all Germans are thieves."
My opponent argues that we should abolish the soda tax. It's a shame that he wants to encourage people to eat and drink unhealthily. I say we keep it.,fallacy of extension,My opponent argues that we should abolish the soda tax.[SEP]It's a shame that he wants to encourage people to eat and drink unhealthily.[SEP]I say we keep it.
"My first time meeting Mr. Casal went poorly, so his class will not be a good one this year.",faulty generalization,"My first time meeting Mr. Casal went poorly, so[SEP]his class will not be a good one this year."
I called my friend and he didn't answer. He wasn't home or he was dead.,false dilemma,I called my friend and he didn't answer.[SEP]He wasn't home or he was dead.
"Don't try to tell me that you only watch educational programming, Emmy! I know for a fact that your sister only watches reality television.",faulty generalization,"Don't try to tell me that you only watch educational programming, Emmy![SEP]I know for a fact that your sister only watches reality television."
Have you stopped cheating on exams?,intentional,Have you stopped cheating on exams?
"Dr. Fauci says we need to wear masks, but Dr. Fauci is the oldest, meanest doctor around. I’m sure what he says isn’t true at all.",ad hominem,"Dr. Fauci says we need to wear masks,[SEP]but Dr. Fauci is the oldest, meanest doctor around.[SEP]I’m sure what he says isn’t true at all."
This persuasive technique is used to make you feel left out if you don't join the group.,ad populum,This persuasive technique is used to make you feel left out if you don't join the group.
"Matthieu was the only player on the team who didn't grow a playoff beard, and thus he ended up getting injured.",false causality,"Matthieu was the only player on the team who didn't grow a playoff beard,[SEP]and thus he ended up getting injured."
"""The two courses I took at UWI were not very interesting. I don't think its a good university.""",faulty generalization,"""The two courses I took at UWI were not very interesting.[SEP]I don't think its a good university."""
You didn't remember to take out the trash this morning. It will pile up and the neighbors will complain and the health inspectors will come and take away the kids.,faulty generalization,You didn't remember to take out the trash this morning.[SEP]It will pile up and the neighbors will complain and the health inspectors will come and take away the kids.
To justify support for a position by citing an esteemed or well-known figure who supports it.,fallacy of credibility,To justify support for a position by citing an esteemed or well-known figure who supports it.
"Everyone uses Social Media to fundraise, therefore there's no problem with asking for money on social media sites as long as it's going to charity",ad populum,"Everyone uses Social Media to fundraise,[SEP]therefore there's no problem with asking for money on social media sites as long as it's going to charity"
George Bush is a good communicator because he speaks effectively.,circular reasoning,George Bush is a good communicator because[SEP]he speaks effectively.
Speaker 1: I’m against the war. Speaker 2: You must hate our troops.,false dilemma,Speaker[SEP]I’m against the war.[SEP]Speaker[SEP]You must hate our troops.
"Not only is paying a higher income tax a patriotic duty, it is also a sacred obligation.",ad populum,"Not only is paying a higher income tax a patriotic duty,[SEP]it is also a sacred obligation."
"Some students who attend tutoring over the summer are not very intelligent. Since Beth attended summer tutoring, she is not a very good student.",faulty generalization,"Some students who attend tutoring over the summer are not very intelligent.[SEP]Since Beth attended summer tutoring, she is not a very good student."
"While debating with a friend on which movie would be better to see, you use the argument that your opinion on movies is better because your friend picks their nose, so we shouldn’t trust them because that’s gross",ad hominem,"While debating with a friend on which movie would be better to see,[SEP]you use the argument that your opinion on movies is better because your friend picks their nose, so we shouldn’t trust them because that’s gross"
"""I see nobody on the road,"" said Alice. ""I only wish I had such eyes,"" the king remarked...""To be able to see Nobody! And at that distance, too! Why it's as much as I can do to see real people, by this light.""",equivocation,"""I see nobody on the road,"" said Alice.[SEP]""I only wish I had such eyes,"" the king remarked...""To be able to see Nobody! And at that distance, too! Why it's as much as I can do to see real people, by this light."""
What is The Texas Sharpshooter?,intentional,What is The Texas Sharpshooter?
"Scientist: Evolution explains how animals developed, adapted and diversified over millions of years. Opponent: If we evolved from monkeys, why are there still monkeys? And why don't we have three arms? Wouldn't that give me a competitive advantage?",fallacy of extension,"Scientist: Evolution explains how animals developed, adapted and diversified over millions of years.[SEP]Opponent: If we evolved from monkeys, why are there still monkeys? And why don't we have three arms? Wouldn't that give me a competitive advantage?"
"""Everyone is wearing the new skinny jeans from American Eagle. Are you?""",ad populum,"""Everyone is wearing the new skinny jeans from American Eagle.[SEP]Are you?"""
"A local politician plans to expand the municipality's cycle network and to add several new speed cameras in densely populated areas. Their opponent says, ""They want us all to give up driving forever. They're punishing the honest car owners and commuters that help pay these politicians' salaries.""",fallacy of extension,"A local politician plans to expand the municipality's cycle network and to add several new speed cameras in densely populated areas.[SEP]Their opponent says, ""They want us all to give up driving forever. They're punishing the honest car owners and commuters that help pay these politicians' salaries."""
You don’t have to do this. My grandmother is in the hospital. I need my salary to support her medication. She’s dying.,appeal to emotion,You don’t have to do this.[SEP]My grandmother is in the hospital.[SEP]I need my salary to support her medication.[SEP]She’s dying.
But this here research must go on. This space effort must go on,circular reasoning,But this here research must go on.[SEP]This space effort must go on
"Nuclear disarmament is a risk, but everything in life involves a risk. Every time you drive in a car you are taking a risk. If you're willing to drive in a car, you should be willing to have disarmament.",fallacy of logic,"Nuclear disarmament is a risk, but everything in life involves a risk.[SEP]Every time you drive in a car you are taking a risk.[SEP]If you're willing to drive in a car, you should be willing to have disarmament."
Speaker 1: Dr. Singh says meat eating is bad for the environment. Speaker 2: He’s a Sikh. They don’t eat meat. Of course he would say that. He can’t be telling the truth.,ad hominem,Speaker[SEP]Dr. Singh says meat eating is bad for the environment.[SEP]Speaker[SEP]He’s a Sikh. They don’t eat meat. Of course he would say that. He can’t be telling the truth.
This is why a woman shouldn’t do a man's job,ad hominem,This is why a woman shouldn’t do a man's job
"His house is about half the size of most houses in the neighborhood. Therefore, his doors must all be about 3 1/2 feet high.",faulty generalization,"His house is about half the size of most houses in the neighborhood.[SEP]Therefore, his doors must all be about 3 1/2 feet high."
I’ve never had the flu because I take my vitamins everyday.,false causality,I’ve never had the flu because[SEP]I take my vitamins everyday.
Eating five candy bars and drinking two sodas before a test helps me get better grades. I did that and got an A on my last test in history.,false causality,Eating five candy bars and drinking two sodas before a test helps me get better grades.[SEP]I did that and got an A on my last test in history.
"An increasing number of people are keeping ferrets as pets, so they must make wonderful companion animals.",ad populum,"An increasing number of people are keeping ferrets as pets,[SEP]so they must make wonderful companion animals."
Flight attendants are the nicest people. I should know—I’ve taken two flights.,faulty generalization,Flight attendants are the nicest people.[SEP]I should know—I’ve taken two flights.
Trans fats are as bad as biological weapons.,fallacy of relevance,Trans fats are as bad as biological weapons.
"The ideas from that member of the club are wrong, but he isn’t actually a true member of the club so his ideas do not matter.",intentional,"The ideas from that member of the club are wrong, but[SEP]he isn’t actually a true member of the club so his ideas do not matter."
"My parents are democrats, and they are good people. Therefore, all democrats must be good people.",faulty generalization,"My parents are democrats, and they are good people.[SEP]Therefore, all democrats must be good people."
My opponent in the election keeps claiming that he wants to give tax credits to poor people. That means that he wants to raise taxes for the middle class.,fallacy of extension,My opponent in the election keeps claiming that he wants to give tax credits to poor people.[SEP]That means that he wants to raise taxes for the middle class.
Let’s go buy the iPhone X in spite of the $999 price tag--all of our friends have one already!,ad populum,Let’s go buy the iPhone X in spite of the $999 price tag--[SEP]all of our friends have one already!
"All stars are exploding balls of gas. Miley Cyrus is a star. Therefore, Miley Cyrus is an exploding ball of gas",equivocation,"All stars are exploding balls of gas.[SEP]Miley Cyrus is a star.[SEP]Therefore, Miley Cyrus is an exploding ball of gas"
"“Andrea Dworkin has written several books arguing that pornography harms women. But Dworkin is just ugly and bitter, so why should we listen to her?”",ad hominem,"“Andrea Dworkin has written several books arguing that pornography harms women.[SEP]But Dworkin is just ugly and bitter, so why should we listen to her?”"
"Well, every one else jumped off the roof, why can't I?",ad populum,"Well, every one else jumped off the roof,[SEP]why can't I?"
"My first day of basketball practice was easy, so it will always be easy.",faulty generalization,"My first day of basketball practice was easy, so it will always be easy."
"Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?",ad populum,"Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?"
You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,appeal to emotion,You have to give me a passing grade.[SEP]I spent 150 hours on that project and missed every party this quarter.
"MARVIN STONE: You suggest that we scrap the SALT II treaty already negotiated, and intensify the build-up of American power to induce the Soviets to sign a new treaty - one more favorable to us. President Carter, on the other hand, says he will again try to convince a reluctant Congress to ratify the present treaty on the grounds it's the best we can hope to get. Now, both of you cannot be right. Will you tell us why you think you are? RONALD REAGAN: Yes. I think I'm right because I believe that we must have a consistent foreign policy, a strong America, and a strong economy. And then, as we build up our national security, to restore our margin of safety, we at the same time try to restrain the Soviet build-up, which has been going forward at a rapid pace, and for quite some time. October 28, 1980 Cleveland, Ohio What logical fallacy did Reagan’s response illustrate the use of?",appeal to emotion,"MARVIN STONE: You suggest that we scrap the SALT II treaty already negotiated, and intensify the build-up of American power to induce the Soviets to sign a new treaty - one more favorable to us. President Carter, on the other hand, says he will again try to convince a reluctant Congress to ratify the present treaty on the grounds it's the best we can hope to get. Now, both of you cannot be right. Will you tell us why you think you are? RONALD REAGAN: Yes. I think I'm right because I believe that we must have a consistent foreign policy, a strong America, and a strong economy. And then, as we build up our national security, to restore our margin of safety, we at the same time try to restrain the Soviet build-up, which has been going forward at a rapid pace, and for quite some time. October 28, 1980 Cleveland, Ohio[SEP]What logical fallacy did Reagan’s response illustrate the use of?"
"She is a teacher in a public school, so any claims that she makes about the public school system are biased and untrue.",ad hominem,"She is a teacher in a public school,[SEP]so any claims that she makes about the public school system are biased and untrue."
"Pol Pot, the Cambodian Maoist revolutionary, was against religion, and he was a very bad man.  Frankie is against religion; therefore, Frankie also must be a very bad man.",faulty generalization,"Pol Pot, the Cambodian Maoist revolutionary, was against religion, and he was a very bad man.[SEP]Frankie is against religion; therefore, Frankie also must be a very bad man."
Which of the following is true?,fallacy of relevance,Which of the following is true?
Vote for me because the other candidate is a cheat and a liar!,ad hominem,Vote for me because[SEP]the other candidate is a cheat and a liar!
I. Many seats in the private medical colleges in the state have remained vacant this year. II. The government medical colleges in the state could accommodate all the students who sought admission this year.,false causality,I. Many seats in the private medical colleges in the state have remained vacant this year.[SEP]II. The government medical colleges in the state could accommodate all the students who sought admission this year.
We should stop using hairspray because it is snowing in New York.,fallacy of logic,We should stop using hairspray because[SEP]it is snowing in New York.
"""It's important for you to take this psychology course. Sign up today. Don't wait.""",fallacy of relevance,"""It's important for you to take this psychology course. Sign up today. Don't wait."""
Salesguy: You should definitely buy this car.  You look so good in it -- you look at least ten years younger behind that wheel.Tamera: I’ll take it!,appeal to emotion,Salesguy: You should definitely buy this car.  You look so good in it -- you look at least ten years younger behind that wheel.[SEP]Tamera: I’ll take it!
Becky: I think capital punishment is a necessary component of our justice system and should remain legal. Alex: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.,fallacy of extension,Becky: I think capital punishment is a necessary component of our justice system and should remain legal.[SEP]Alex: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.
aliens must have visited Earth,fallacy of logic,aliens must have visited Earth
"""The mind is like a knife, cutting through difficult problems. But just as too much cutting dulls a knife, so too much education dulls the mind.""",fallacy of logic,"""The mind is like a knife, cutting through difficult problems.[SEP]But just as too much cutting dulls a knife, so too much education dulls the mind."""
"“He’s not a great athlete; he’s a fraud, a cheat and a liar. That’s why not everybody is ‘happy for Lance.'”",ad hominem,"“He’s not a great athlete; he’s a fraud, a cheat and a liar.[SEP]That’s why not everybody is ‘happy for Lance.'”"
Son: I am so excited!  I got an “A” on my physics exam! Dad:  Why not an “A+”?  This means that you answered something incorrectly.  That is not acceptable!,fallacy of relevance,Son: I am so excited!  I got an “A” on my physics exam![SEP]Dad:  Why not an “A+”?  This means that you answered something incorrectly.  That is not acceptable!
"""I don't know how Professor Resnick can be such a hard grader.  He's always late for class. """,ad hominem,"""I don't know how Professor Resnick can be such a hard grader.[SEP]He's always late for class. """
"Lucas: I remember when I was about three years old my mother saved me from almost being eaten by a shark. Katie: I doubt that. What you are experiencing is what cognitive psychologists refer to as a ""false memory.""",ad hominem,"Lucas: I remember when I was about three years old my mother saved me from almost being eaten by a shark.[SEP]Katie: I doubt that. What you are experiencing is what cognitive psychologists refer to as a ""false memory."""
"The shopping is a red herring, since the original issue was video games.",fallacy of relevance,"The shopping is a red herring, since[SEP]the original issue was video games."
"A year is 365 days long, so I celebrate my birthday every 365 days.",faulty generalization,"A year is 365 days long, so[SEP]I celebrate my birthday every 365 days."
Either go to the party or spend the night in your room crying.,false dilemma,Either go to the party or spend the night in your room crying.
"There must be objective rights and wrongs in the universe.  If not, how can you possibly say that torturing babies for fun could ever be right?",appeal to emotion,"There must be objective rights and wrongs in the universe.[SEP]If not, how can you possibly say that torturing babies for fun could ever be right?"
"""Even though it's only the first day, I can tell this is going to be a boring course.""",faulty generalization,"""Even though it's only the first day,[SEP]I can tell this is going to be a boring course."""
Appealing to popularity or the fact that many people do something as an attempted form of validation,ad populum,Appealing to popularity or the fact that many people do something as an attempted form of validation
"Sure, we haven't given raises in over five years to our employees, but we work really hard to make a good product. We try to ensure the best customer service, too.",fallacy of relevance,"Sure, we haven't given raises in over five years to our employees, but we work really hard to make a good product.[SEP]We try to ensure the best customer service, too."
"Fred, the Australian, stole my wallet. Thus, all Australians are thieves.",faulty generalization,"Fred, the Australian, stole my wallet.[SEP]Thus, all Australians are thieves."
"Dean, the company you work for just filed for bankruptcy! How can I trust you with our money?",faulty generalization,"Dean, the company you work for just filed for bankruptcy![SEP]How can I trust you with our money?"
"My new way of obtaining informed consent helps prevent dropouts. I chose the three therapists in our clinic who had the highest dropout rates and taught them my new informed consent procedure. The first month that they started using it, all three had significantly lower dropout rates.",false causality,"My new way of obtaining informed consent helps prevent dropouts.[SEP]I chose the three therapists in our clinic who had the highest dropout rates and taught them my new informed consent procedure.[SEP]The first month that they started using it, all three had significantly lower dropout rates."
Death penalty will not scare criminals because they don’t expect to be caught,fallacy of extension,Death penalty will not scare criminals because[SEP]they don’t expect to be caught
"Barbara believes the marketing agency's office is haunted. The cleaning crew once said they heard a other-worldly noise late at night. Since no one could prove that it wasn't a ghost, the office must be haunted.",intentional,"Barbara believes the marketing agency's office is haunted.[SEP]The cleaning crew once said they heard a other-worldly noise late at night.[SEP]Since no one could prove that it wasn't a ghost, the office must be haunted."
"How can you possibly believe in evolution? That would mean that you believe that an elephant evolved from a mouse, and that’s just ridiculous",fallacy of extension,"How can you possibly believe in evolution?[SEP]That would mean that you believe that an elephant evolved from a mouse, and that’s just ridiculous"
All my friends are doing a low carb diet. That must be the only way to lose weight so I will do it too.,ad populum,All my friends are doing a low carb diet.[SEP]That must be the only way to lose weight so I will do it too.
"Vietnam War—America, love it or leave it",ad populum,"Vietnam War—America,[SEP]love it or leave it"
"I know you want to imprison me for having murdered my parents, but judge, have mercy on me, I’m an orphan!",fallacy of relevance,"I know you want to imprison me for having murdered my parents, but judge, have mercy on me,[SEP]I’m an orphan!"
What did you use to wipe your fingerprints from the gun?,intentional,What did you use to wipe your fingerprints from the gun?
"""Freedom of choice is an important freedom. Students should have the freedom to choose between different types of soft drinks.""",faulty generalization,"""Freedom of choice is an important freedom.[SEP]Students should have the freedom to choose between different types of soft drinks."""
He said a lovely lady like me doesn't have to worry about his bear because this is a man-eating bear.,equivocation,He said a lovely lady like me doesn't have to worry about his bear because[SEP]this is a man-eating bear.
"""1 is a number and 2 is a number so 1 = 2""",fallacy of logic,"""1 is a number and 2 is a number so 1 = 2"""
"If we don’t teach teens to work harder, the human race is doomed.",appeal to emotion,"If we don’t teach teens to work harder,[SEP]the human race is doomed."
Explaining that the U.S. Civil War was fought only because of the institution of slavery,false causality,Explaining that the U.S. Civil War was fought only because of the institution of slavery
"We can’t legalize marijuana; if we do, then the next thing you know people will be strung out on heroin.",faulty generalization,"We can’t legalize marijuana;[SEP]if we do, then the next thing you know people will be strung out on heroin."
"assumes that if many people act or believe a certain way, it must be the right way",ad populum,"assumes that if many people act or believe a certain way,[SEP]it must be the right way"
Of course we should buy an Apple computer whenever we need a new computer. We have been buying Apple as far back as anyone can remember!,fallacy of credibility,Of course we should buy an Apple computer whenever we need a new computer.[SEP]We have been buying Apple as far back as anyone can remember!
"Every time that rooster crows, the sun comes up. That rooster must be very powerful and important!",false causality,"Every time that rooster crows, the sun comes up.[SEP]That rooster must be very powerful and important!"
"The bigger a child's shoe size, the better the child's handwriting",false causality,"The bigger a child's shoe size,[SEP]the better the child's handwriting"
We now produce the best program in existence; four thousand businesses subscribe to our program.,ad populum,We now produce the best program in existence;[SEP]four thousand businesses subscribe to our program.
“You could either pursue your dream job or stay where you are and be miserable for the rest of your life.”,false dilemma,“You could either pursue your dream job or stay where you are and be miserable for the rest of your life.”
Everyone who likes pizza likes pepperoni,faulty generalization,Everyone who likes pizza likes pepperoni
Moving the goalposts or making up exceptions when a claim is shown to be false.,intentional,Moving the goalposts or making up exceptions when a claim is shown to be false.
Discoveries from Archimedes should be dismissed because he made them in a bathtub and not a proper university laboratory.,ad hominem,Discoveries from Archimedes should be dismissed because[SEP]he made them in a bathtub and not a proper university laboratory.
Not tipping your waiter is like stealing money right out of someone's wallet.,fallacy of logic,Not tipping your waiter is[SEP]like stealing money right out of someone's wallet.
"Which logical reason supports the opposition to the motion ""Cell phones give off an unsafe radiation and should not be used.""",false causality,"Which logical reason supports the opposition to the motion ""Cell phones give off an unsafe radiation and should not be used."""
We can either stop using cars or destroy the earth.,false dilemma,We can either stop using cars or[SEP]destroy the earth.
"I can’t stop eating these chocolates.  I really love chocolate, or I seriously lack willpower.  I know I really love chocolate; therefore, I cannot lack willpower.",fallacy of logic,"I can’t stop eating these chocolates.[SEP]I really love chocolate, or I seriously lack willpower.[SEP]I know I really love chocolate; therefore, I cannot lack willpower."
"Sebastian saw that several of his friends had bought a new fidget spinner. He realized it must be a very cool gadget if they had one, and everyone else probably did, too.",ad populum,"Sebastian saw that several of his friends had bought a new fidget spinner.[SEP]He realized it must be a very cool gadget if they had one, and everyone else probably did, too."
"I believe that when we die, we will spend eternity reading books and learning more about writing composition. I am so comforted by this belief!",appeal to emotion,"I believe that when we die, we will spend eternity reading books and learning more about writing composition.[SEP]I am so comforted by this belief!"
"I must be telling the truth, since I’m not lying.",circular reasoning,"I must be telling the truth, since[SEP]I’m not lying."
Layla is a liar! She should not be trusted to be president for student council!,ad hominem,Layla is a liar![SEP]She should not be trusted to be president for student council!
"Before I refute my opponent's argument, I would like to draw attention to the fact that he is sweating and clearly does not have much experience on the debate team.",ad hominem,"Before I refute my opponent's argument,[SEP]I would like to draw attention to the fact that he is sweating and clearly does not have much experience on the debate team."
"""We must legalize weed, it is tearing families apart."" Response: ""But look at all those druggies getting arrested, they are obviously criminals.""",fallacy of relevance,"""We must legalize weed, it is tearing families apart.""[SEP]Response: ""But look at all those druggies getting arrested, they are obviously criminals."""
You should listen to Ellie Goulding because everyone is listening to her music.,ad populum,You should listen to Ellie Goulding because[SEP]everyone is listening to her music.
"Oh please, what do you know about labor laws? You don't even have a job.",ad hominem,"Oh please, what do you know about labor laws?[SEP]You don't even have a job."
This dress code is so bad I feel like I'm in prison.,fallacy of relevance,This dress code is so bad I feel like I'm in prison.
Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.,false causality,Joan is scratched by a cat while visiting her friend.[SEP]Two days later she comes down with a fever.[SEP]Joan concludes that the cat's scratch must be the cause of her illness.
Are you still a heavy drinker?,intentional,Are you still a heavy drinker?
I have a right to free speech so I can say what I want and you shouldn't try to stop me,circular reasoning,I have a right to free speech so I can say what I want and you shouldn't try to stop me
"Bill and Jill are arguing about cleaning out their closets:  Jill: ""We should clean out the closets. They are getting a bit messy.""  Bill: ""Why, we just went through those closets last year. Do we have to clean them out everyday?""  Jill: ""I never said anything about cleaning them out every day. You just want too keep all your junk forever, which is just ridiculous.""",fallacy of extension,"Bill and Jill are arguing about cleaning out their closets:[SEP]Jill: ""We should clean out the closets. They are getting a bit messy.""[SEP]Bill: ""Why, we just went through those closets last year. Do we have to clean them out everyday?""[SEP]Jill: ""I never said anything about cleaning them out every day. You just want too keep all your junk forever, which is just ridiculous."""
There was a thunderstorm with rain therefore I did not finish my homework.,false causality,There was a thunderstorm with rain therefore[SEP]I did not finish my homework.
Student: Logical Fallacies have nothing to do with my life and I don’t want to learn them! Teacher: You are too young to understand why it’s important!,ad hominem,Student: Logical Fallacies have nothing to do with my life and I don’t want to learn them![SEP]Teacher: You are too young to understand why it’s important!
Everybody does it.  You should too.,ad populum,Everybody does it.[SEP]You should too.
Consider the following exchange: Omar: I think capital punishment is a necessary component of our justice system and should remain legal. Kayla: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.,fallacy of extension,Consider the following exchange: Omar: I think capital punishment is a necessary component of our justice system and should remain legal.[SEP]Kayla: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.
People nowadays only vote with their emotions instead of their brains.,faulty generalization,People nowadays only vote with their emotions instead of their brains.
Beyond Meat burgers are healthy for us because they do not have any meat in them.,fallacy of credibility,Beyond Meat burgers are healthy for us because[SEP]they do not have any meat in them.
We cannot listen to John’s opinion on global warming because he is a tree hugger.,ad hominem,We cannot listen to John’s opinion on global warming because[SEP]he is a tree hugger.
"Our garage sale made lots of money before Joan showed up. Obviously, she scared off all the customers.",false causality,"Our garage sale made lots of money before Joan showed up.[SEP]Obviously, she scared off all the customers."
Verizon advertising the newest Samsung Galaxy phone that they claim everyone else who has bought it loves the new product.,ad populum,Verizon advertising the newest Samsung Galaxy phone that they claim everyone else who has bought it loves the new product.
"“Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, I believe it's true.”",fallacy of credibility,"“Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true.[SEP]Therefore, I believe it's true.”"
"Kids: If you wouldn't eat your dog, why eat a turkey? Go vegan.",fallacy of logic,"Kids: If you wouldn't eat your dog, why eat a turkey?[SEP]Go vegan."
