predictions,true_labels,cases
faulty generalization,appeal to emotion,MSK1 : People are turning to God everywhere ! MSK2 MSK3 MSK4 said that MSK2 had a personal relationship with Jesus Christ . Fred : Where did MSK5 find MSK2 MSK5 MSK4 ? MSK1 : In MSK3 church .
fallacy of credibility,faulty generalization,MSK0 is the best because MSK0 tastes better .
ad populum,ad populum,Over 99 billion people served …
fallacy of relevance,fallacy of relevance,MSK0 mom gets MSK0 phone bill and MSK0 has gone over the limit . MSK0 begins talking to her about how hard MSK0 math class is and how well MSK0 did on a test today .
ad hominem,faulty generalization,MSK0 support more aggressive gun control laws . Can you believe MSK0 want to deny repeat offenders and those on the terrorist watch list MSK0 rights ?
false dilemma,false dilemma,"Look , MSK0 are going to have to make up MSK0 mind . Either , MSK0 MSK1 that MSK0 can afford this stereo , or MSK0 MSK1 that MSK0 are going to have to go without music for a while ."
false dilemma,false dilemma,"MSK2 Either MSK0 love MSK1 , or MSK0 hate MSK1 . MSK2"
ad hominem,fallacy of relevance,"MSK7 MSK0 MSK1 to talk about cleaning out MSK2 , so MSK3 MSK4 MSK0 what MSK0 MSK1 to do with our MSK6 . Now MSK0 ’s shopping for new MSK6 and not MSK4 MSK3 about MSK2 . MSK7"
ad populum,ad populum,""" MSK0 want MSK0 to go to a MSK1 university so MSK2 can avoid too much debt . "" "" Why do MSK2 think MSK1 MSK3 are better than MSK4 MSK3 ? Harvard and Princeton are MSK4 . "" What is this ?"
circular reasoning,circular reasoning,How do MSK1 that MSK2 is the most MSK3 person in our geometry class ? MSK1 because MSK2 's so MSK3 .
fallacy of logic,fallacy of logic,""" MSK0 cause more deaths than MSK1 do , so if MSK2 MSK3 MSK1 MSK2 should also MSK3 MSK0 . """
false causality,false causality,"MSK0 ate a slice of MSK1 for dinner and a few hours later MSK0 had a MSK2 . Therefore , MSK1 causes MSK2 ."
ad hominem,ad hominem,This clinic sure makes a lot of money . Each of the psychologists who work there must earn a large income .
ad populum,ad populum,"MSK0 is popular ; therefore , MSK0 is right ."
fallacy of relevance,fallacy of relevance,"Sure , MSK0 have n't given raises in over five years to MSK0 employees , but MSK0 work really hard to make a good product . MSK0 try to ensure the best customer service , too ."
fallacy of logic,fallacy of logic,"If MSK0 MSK2 then MSK0 has MSK3 . MSK0 has MSK3 , so MSK0 MSK2 ."
circular reasoning,circular reasoning,"MSK0 is good not just for the individual , but for all of society . After all , MSK0 's in the interest of the community that everyone should be at liberty to express his or her beliefs ."
faulty generalization,faulty generalization,MSK0 until noon is the worst thing to do because it is bad to MSK0 late .
false dilemma,ad populum,"MSK0 — America , love MSK0 or leave MSK0"
ad hominem,intentional,"Radio MSK0 show host , on learning that an association of critical thinking professors had suggested his show as a source of fallacious reasoning : MSK4 Who are MSK1 ? MSK1 MSK0 to maybe 30 MSK2 at a time . MSK3 MSK0 to 5 million MSK2 every day . MSK1 could not begin to do what MSK3 do . MSK1 are just gnats flying around getting in the way . MSK4"
faulty generalization,faulty generalization,MSK0 eats MSK2 and MSK1 . MSK0 is thin . MSK2 and MSK1 are n’t the cause of obesity .
ad populum,ad populum,""" Because everybody thinks this way , it must be right . """
fallacy of relevance,fallacy of relevance,"If MSK0 write to MSK1 and tell MSK1 : "" MSK1 , MSK2 know MSK2 have n't done any of the assignments , but MSK2 need a C anyway because MSK2 'm asking nicely and MSK2 'm good person , and MSK2 'm going to get in trouble if MSK0 do n't . """
false causality,false causality,"MSK0 primary MSK2 . This year , MSK0 will MSK2 ."
ad populum,ad populum,"MSK0 is a MSK1 organization , so all of MSK0 employees must be MSK1 ."
intentional,intentional,Have MSK0 stopped cheating on MSK0 tests ?
fallacy of logic,fallacy of logic,""" MSK0 are MSK1 . MSK2 is a MSK1 . Therefore , MSK2 is a MSK0 . """
false causality,fallacy of relevance,"MSK0 : MSK0 'm not satisfied when the United States had MSK1 the MSK2 rate of economic MSK3 of any MSK11 MSK11 MSK11 in MSK4 MSK5 ( from MSK6 MSK7 ) RICHARD NIXON : MSK8 heard MSK14 , for example , the MSK7 made that MSK8 MSK3 in national product MSK1 was the MSK2 of any MSK11 MSK11 in MSK4 . Now last MSK9 , of course , was MSK12 . That happened to be a recession MSK9 . But when MSK10 look at the MSK3 of G.N.P. this MSK9 , a MSK9 of recovery , MSK10 find that it 's six and nine - tenths per cent and one of the highest in MSK4 MSK14 MSK5 ( from MSK6 MSK7 ) September 26 , MSK12 MSK13 , MSK13 What logical fallacy does Kennedy use ?"
fallacy of extension,ad hominem,"In the debate at MSK0 , one of MSK1 MSK2 MSK3 argument that MSK4 MSK0 , proposed MSK6 MSK6 as a means to MSK6 unjust laws . MSK1 MSK2 MSK3 by saying , MSK5 MSK4 could never know that Adolph Hitler would agree with MSK4 . MSK5 A BETTER MSK2 would have been to …"
ad populum,ad populum,", if everyone else is doing something , it must be right / good ."
ad populum,ad populum,"While doing research for MSK0 debate topic on MSK1 MSK2 , MSK0 discovered that MSK3 indicated that 72 % of MSK3 1st graders wanted MSK2 . MSK0 MSK4 this as evidence to support that all high MSK1 should wear MSK1 MSK2 . What fallacy did MSK0 MSK4 here ?"
faulty generalization,faulty generalization,"Mining may destroy MSK0 , but how about the people whose jobs will be affected ? Should we ban MSK0 ?"
ad hominem,ad hominem,"MSK0 wants to raise the minimum wage , but MSK0 are n't even smart enough to run a business ."
faulty generalization,faulty generalization,"MSK0 neighbor 's MSK1 attacked MSK0 , therefore all MSK1 are evil ."
ad hominem,ad hominem,"MSK0 is running for class president . In MSK0 campaign speech MSK0 says , "" Xavier does not deserve to win . MSK1 is a smoker and MSK1 cheated on MSK1 reading quizzes last year . "" What fallacy has MSK0 committed ?"
fallacy of extension,fallacy of relevance,"While debating with a friend on which MSK0 would be MSK1 to see , MSK2 use the argument that MSK2 opinion on MSK0 is MSK1 because MSK3 picks MSK3 nose , so we should n’t trust MSK3 because that ’s gross . What fallacy have MSK2 committed ?"
fallacy of extension,fallacy of extension,"MSK0 : MSK0 MSK1 on MSK2 . Do n't MSK0 realize that 's wrong ? Walter : Hey , wait a minute . MSK0 MSK1 on MSK2 last year . Or have MSK0 forgotten about that ?"
faulty generalization,faulty generalization,"But MSK0 have to let MSK1 go to MSK2 ! If MSK1 do n't go to MSK2 , MSK1 'll be a loser with no friends . Next thing MSK0 know , MSK1 'll end up alone and jobless , living in MSK0 basement when MSK1 'm 30 !"
false causality,false causality,"MSK0 should never MSK1 . Once MSK0 start MSK1 MSK0 find it hard to stop . Soon MSK0 are spending all MSK0 money on gambling , and eventually MSK0 will turn to crime to support MSK0 earnings ."
faulty generalization,faulty generalization,"But MSK0 have to let MSK1 go to MSK2 ! If MSK1 do n't go to MSK2 , MSK1 'll be a loser with no friends . Next thing MSK0 know , MSK1 'll end up alone and jobless , living in MSK0 basement when MSK1 'm 30 !"
intentional,intentional,"MSK0 : What is MSK1 view on the MSK2 MSK3 ? MSK4 : MSK4 do n’t MSK5 in any MSK3 , including the MSK2 one . MSK0 : So MSK1 think that we are here by accident , and all this design in nature is pure chance , and MSK6 just created MSK6 ? MSK4 : MSK1 got all that from MSK4 stating that MSK4 just do n’t MSK5 in any MSK3 ?"
circular reasoning,circular reasoning,MSK0 are MSK1 because MSK0 're MSK1 .
fallacy of credibility,false causality,"One of MSK0 MSK1 MSK0 MSK2 after MSK4 MSK0 . Therefore , MSK4 is a proven way to MSK1 MSK2 ."
false dilemma,false dilemma,""" MSK0 : Love MSK0 or leave MSK0 "" MSK0 is an example of which kind of logical fallacy ?"
intentional,fallacy of extension,Falsely requiring an opponent to MSK0 disprove MSK0 instead of MSK1 MSK0 proving MSK0 MSK1 argument
fallacy of relevance,fallacy of relevance,"I 'm raising funds to help cure XYZ disease . If MSK0 do n't donate , then MSK0 're part of the problem ."
faulty generalization,faulty generalization,"MSK0 wants MSK0 to break into the spooky cabin with MSK0 . MSK1 Everyone does it , MSK1 MSK0 claims . What fallacy has MSK0 committed ?"
ad populum,faulty generalization,"Millions of people are MSK0 , so MSK0 economic and political theories are correct ."
false causality,false causality,""" Who are MSK0 to ask fast food restaurants to give us nutritional facts ? MSK0 saw MSK0 eat Taco Bell last night ! """
intentional,intentional,"Trisha : In an interview , MSK0 admitted that MSK0 was a thief ! Derek : MSK0 actually said that when MSK0 was three years old , MSK0 MSK1 a lollipop from a store , and felt so guilty , that MSK0 never MSK1 anything again ."
fallacy of logic,false causality,"One of MSK0 MSK1 MSK0 MSK2 after MSK4 MSK0 . Therefore , MSK4 is a proven way to MSK1 MSK2 ."
ad populum,fallacy of relevance,"Education is important for the future of the American people and our country . So , you should choose to study at St. Cloud State University ."
ad hominem,ad hominem,"My opponent suggests that lowering taxes will be a good MSK0 -- this is MSK1 from a woman who eats a pint of MSK2 and MSK3 ’s each night ! Mi oponente sugiere MSK4 bajar los impuestos será MSK5 buena MSK0 , ¡ esto viene MSK6 MSK5 mujer MSK4 se MSK1 MSK5 pinta MSK6 MSK2 y MSK3 cada noche !"
false dilemma,false causality,MSK0 either support Hillary Clinton for President or MSK0 do n’t believe in women ’s rights .
false causality,false causality,MSK0 MSK3 and then MSK1 a MSK2 ; so MSK0 assume that MSK3 causes MSK0 to MSK1 MSK2
ad hominem,ad hominem,"Two of MSK0 best friends are really introverted , MSK1 people , and they both have MSK2 . That leads to MSK0 believe that most MSK2 lovers are really MSK1 ."
faulty generalization,ad hominem,"Based on a MSK0 of MSK1 MSK2 homeowners , 99 % of those MSK0 have two or more automobiles worth on average $ MSK1 each . Therefore , MSK2 are very wealthy ."
faulty generalization,false causality,"MSK7 MSK0 coach ’s policy is that no one can be a MSK1 on MSK2 day if they MSK3 MSK4 . So , if MSK0 MSK3 MSK5 MSK4 today , MSK0 wo n’t be a MSK1 in Friday ’s MSK2 . Then MSK0 wo n’t be the first freshman to start on the MSK6 MSK5 team at MSK6 school . MSK7 '"
appeal to emotion,appeal to emotion,A persuasive technique meant to influence a person ’s emotions .
faulty generalization,fallacy of extension,"MSK0 , is too young and inexperienced ; MSK0 could do without coref1 advice ."
fallacy of relevance,fallacy of relevance,"Student : MSK0 did n't MSK3 MSK1 this ; MSK1 never learned MSK2 . MSK3 : So , what MSK0 're saying is that MSK0 just did n't study MSK2 after MSK1 went over MSK2 in class right ? That MSK0 do n't want to put in the work ?"
faulty generalization,faulty generalization,"MSK1 : MSK2 should trust MSK3 because MSK3 ’s the MSK4 of MSK5 . MSK1 : How do MSK2 know MSK3 ’s the MSK4 of MSK5 ? MSK1 : Because MSK5 MSK7 MSK3 is . MSK1 : Where does MSK5 MSK7 this ? MSK1 : Right here , in the Bible ."
appeal to emotion,ad populum,"MSK0 really should support MSK1 and MSK1 campaign to strengthen national defense . If MSK0 do not , MSK1 will lose control of the Armed Forces Committee and likely resign from politics ."
ad populum,ad populum,""" MSK0 : Love MSK0 or leave MSK0 "" MSK0 is an example of which kind of logical fallacy ?"
fallacy of logic,faulty generalization,"MSK0 says , "" MSK0 ca n't prove that MSK1 do n't exist , so MSK1 must be real . "" coref2 is an example of which logical fallacy ?"
faulty generalization,fallacy of extension,"MSK2 We should abolish MSK0 . MSK1 , have publicly stated MSK1 opposition to MSK0 . MSK2"
ad hominem,ad hominem,I 'm hardly prepared to listen to the arguments of an ignorant moron like you .
ad hominem,ad hominem,"MSK0 did n’t even finish high school , how could MSK0 possible know about this ?"
ad populum,ad populum,MSK0 used in media messages that appeals to the MSK1 everyone is doing MSK0 MSK1 mentality
faulty generalization,appeal to emotion,"But MSK0 have to let MSK1 go to MSK2 ! If MSK1 do n't go to MSK2 , MSK1 'll be a loser with no friends . Next thing MSK0 know , MSK1 'll end up alone and jobless , living in MSK0 basement when MSK1 'm 30 !"
false causality,false causality,"MSK2 MSK0 raised taxes , and then the rate of violent MSK1 went up . MSK0 is responsible for the rise in MSK1 . MSK2"
fallacy of credibility,fallacy of credibility,"I know that MSK0 MSK1 MSK3 are more effective than MSK2 . The numbers show that MSK0 hit twice the audience with MSK1 , and MSK0 focus groups remember the MSK1 MSK3 38 percent more than the MSK2 slot ."
faulty generalization,faulty generalization,"MSK5 MSK0 is in bad shape . Either MSK0 MSK1 it down and put up MSK2 , or MSK0 continue to MSK3 students ’ MSK4 . Obviously MSK0 should n’t MSK3 anyone ’s MSK4 , so MSK0 must MSK1 MSK2 down . MSK5"
fallacy of extension,circular reasoning,A : I do n't want to visit McDonald 's today . B : So you 're just against good food then ? The above is an example of :
fallacy of extension,equivocation,""" ' What about MSK1 , ma'am ? '' "" ' I 'm not sure . Is MSK2 a MSK1 ? Or is it the MSK3 that MSK4 're MSK5 to MSK6 MSK2 is a MSK1 that is actually the MSK1 ? ' "" ' Or perhaps the MSK3 you 're MSK5 to MSK6 MSK2 is n't a MSK1 is what makes MSK2 a MSK1 after all . ' "" ' MSK4 're talking serious metaherrings here . ' """
fallacy of credibility,fallacy of credibility,"Your honor , if we let Pinocchio get away with lying , what 's next ? Stealing ? Murder ? ..."
faulty generalization,faulty generalization,"If MSK0 do n't take MSK1 , then MSK0 wo n't do well on MSK3 . If MSK0 do n't do well on MSK3 , then MSK0 ca n't get into a MSK5 . If MSK0 ca n't get into a MSK5 , then MSK0 wo n't be able to get MSK6 . If MSK0 ca n't get MSK6 then MSK0 'll have to live in MSK0 parents ' basement forever . Guess MSK0 'll sign up for MSK1 ."
false causality,false causality,""" Everytime MSK0 MSK1 MSK0 MSK3 , therefore , MSK1 MSK0 makes MSK3 . """
ad populum,ad populum,Everyone does it . You should too .
fallacy of relevance,fallacy of relevance,Students should not be allowed to park in MSK0 now reserved for MSK1 because those MSK0 should be for MSK1 only .
ad hominem,ad hominem,"MSK0 is a teacher in a MSK2 , so any claims that MSK0 makes about the MSK2 system are biased and untrue ."
ad hominem,ad hominem,MSK0 is a liar . You should n't listen to MSK0 on anything .
fallacy of relevance,fallacy of relevance,"MSK0 need to stop allowing MSK1 to increase tuition every year . The next thing MSK0 know , MSK2 's going to cost more to attend MSK1 for one semester than MSK2 is to buy a new home !"
false causality,ad populum,"I have MSK0 heads five times in a row . As a result , the next MSK0 will probably be tails ."
fallacy of relevance,fallacy of relevance,""" You ca n't give MSK0 a D because MSK0 'm an A student ! """
circular reasoning,circular reasoning,"MSK0 works ! MSK1 chose the player with MSK2 based on the last MSK3 from each of the teams in our amateur baseball league . Then MSK1 gave each of MSK4 MSK0 . And almost all of MSK4 improved MSK2 in the next MSK3 ! "" ( Note : MSK0 may also involve the statistical phenomenon of regression to the mean ."
ad hominem,ad hominem,MSK5 My boss is n’t willing to increase the number of vacation days MSK0 get each year . That means MSK1 does n’t MSK2 about MSK0 MSK3 . It ’s wrong not to MSK2 about MSK4 ’ MSK3 . MSK1 should be replaced with someone who MSK2 about the MSK4 . MSK5
false dilemma,false dilemma,Some people say that MSK0 is MSK1 . Others say that MSK0 is not MSK1 . That must mean that some coronavirus vaccinations are fine while others are not .
ad populum,faulty generalization,""" My mom said that Colgate is the best toothpaste because almost 90 % of dentists approve of this . "" What fallacy is being committed in the sentence above ?"
ad hominem,ad hominem,"Do n't listen to MSK0 even though MSK0 's a doctor . MSK0 is n't a good person , so MSK0 opinion is invalid ."
ad hominem,faulty generalization,"Do n't listen to MSK0 opinion . MSK0 is a crook , and a spiteful loony man ."
false causality,false causality,MSK0 is the best electronics store because people line up outside of MSK0 on Black Friday .
ad hominem,ad hominem,"MSK0 : Do n’t MSK0 realize that all this MSK2 MSK0 are doing is making MSK0 family miserable ? MSK1 : Yes , MSK1 do . MSK0 : Then what are MSK0 doing about it ? MSK1 : MSK2 to forget ."
fallacy of extension,ad populum,""" How could MSK0 not MSK1 in ghosts ? Roughly MSK2 MSK1 in MSK2 , so do n't MSK0 think MSK0 should reconsider MSK0 opinion ? """
fallacy of extension,fallacy of extension,"MSK0 A : "" MSK1 should MSK2 less on MSK1 military budget and MSK2 more on health and education . "" MSK0 B : "" So you want to leave the country defenseless ? """
ad populum,ad populum,"MSK0 asked MSK1 about MSK0 , but MSK1 responds by correcting MSK1 rather than addressing coref2 : MSK2 Not — well , we turned over 35,000 , so … MSK2"
appeal to emotion,fallacy of extension,"Animal experimentation reduces MSK0 MSK1 for MSK2 . If MSK0 do n't MSK1 MSK2 , MSK0 are likely to be more and more tolerant of violent acts like war and murder . Soon MSK3 will become a battlefield in which MSK4 constantly fears for MSK4 MSK2 . MSK3 will be the end of civilization ."
faulty generalization,false dilemma,MSK2 MSK0 did n’t see MSK1 at the charity fundraiser today . MSK0 guess MSK1 are not a good person after all . MSK2
fallacy of logic,fallacy of logic,"MSK0 should marry MSK1 . MSK1 know we ’re not compatible , but MSK1 only have a year to live , and MSK0 ’re MSK1 last chance ."
ad populum,faulty generalization,""" My mom said that Colgate is the best toothpaste because almost 90 % of dentists approve of this . "" What fallacy is being committed in the sentence above ?"
intentional,intentional,Have you stopped cheating on exams ?
fallacy of logic,fallacy of logic,"MSK0 is MSK3 ; MSK4 is MSK3 . Therefore , since MSK5 can MSK6 through MSK0 , MSK5 can MSK6 through MSK4 ."
fallacy of logic,faulty generalization,"MSK0 is MSK1 or MSK0 is MSK3 . MSK0 is a MSK1 . Therefore , MSK0 is not MSK3 ."
faulty generalization,faulty generalization,"MSK0 has been MSK1 by the local government and several people go to protest MSK0 , waving signs and blocking traffic . MSK2 Both sides are just as bad , MSK2 rants your uncle . What fallacy has he MSK1 ?"
false dilemma,false dilemma,"An advertisement asking people to give to St. Jude Research Center to help MSK0 . You would n't want to let MSK0 die , right ?"
faulty generalization,faulty generalization,"If MSK0 allow MSK1 to have cell phones , it will lead to MSK2 in MSK3 . If MSK0 have MSK2 in MSK3 , MSK1 will MSK4 to MSK5 . If MSK1 MSK4 to MSK5 , MSK1 lives will be ruined forever !"
intentional,fallacy of relevance,"Barbara believes MSK0 is MSK1 . MSK2 once said MSK2 heard MSK3 late at night . Since no one could prove that MSK3 was n't a ghost , MSK0 must be MSK1 ."
circular reasoning,circular reasoning,MSK0 is the best MSK1 to live in because MSK0 's better than the other MSK1 !
faulty generalization,faulty generalization,A MSK0 with a MSK1 license plate cuts MSK2 off in traffic . MSK2 decide that all MSK1 MSK0 are terrible MSK0 .
ad populum,ad populum,MSK0 must exist because most people believe in MSK0 .
fallacy of logic,intentional,Do you think that we should convict this criminal ?
ad hominem,fallacy of relevance,"MSK0 tells MSK1 not to start MSK4 as MSK0 will MSK2 MSK1 when MSK0 is MSK3 , and MSK1 points out that MSK0 is a smoker . MSK0 does not alter the fact that MSK1 may MSK2 MSK4 when MSK0 is MSK3 ."
