text,label,coarse_label
"Which type of appeal is used in the following phrase from the Declaration of Independence: “He has plundered our seas, ravaged our coasts, burned our towns, and destroyed the lives of our people”?",appeal to emotion,fallacy of relevance
"I knew I should have helped that old lady across the road.  Because I didn’t, I have been having bad Karma all day.",false causality,fallacies of defective induction
"An NSA whistle-blower, William Binney, said last week that the agency’s surveillance activities put us on 'a slippery slope toward a totalitarian state'",faulty generalization,fallacies of defective induction
People nowadays only vote with their emotions instead of their brains.,faulty generalization,fallacies of defective induction
"According to the university brochure, the majors with the most students are Economics and Computer Science. Therefore, you should declare one of these majors if you want to have a successful career.",ad populum,fallacy of relevance
Why should we put people on trial when we know they are guilty?,circular reasoning,fallacies of presumption
"It’s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?",faulty generalization,fallacies of defective induction
We now produce the best program in existence; four thousand businesses subscribe to our program.,ad populum,fallacy of relevance
"If I’m psychic, I will be able to see dead people. I see dead people, therefore I’m psychic.",fallacy of logic,fallacies of defective induction
"Ladies and gentlemen of the jury, look at the bloody clothes, the murder weapon. Imagine the helpless screams of the victim. Such a crime deserves no verdict except guilty, guilty!",fallacy of relevance,fallacy of relevance
"If you told a person, ""I think we should all stay inside to bend the curve of COVID-19"" and they replied, ""so I guess you want people to lose their jobs then,"" what logical fallacy are they using?",fallacy of extension,fallacy of relevance
Running the government is like running a business. You can’t keep running into debt and expect to be successful.,fallacy of logic,fallacies of defective induction
What did you use to wipe your fingerprints from the gun?,intentional,fallacy of relevance
He said a lovely lady like me doesn't have to worry about his bear because this is a man-eating bear.,equivocation,fallacy of ambiguity
"If it’s brown, flush it down.
I flushed it down.
Therefore, it was brown.",fallacy of logic,fallacies of defective induction
"Unless you can close your eyes to abuse, write a check to save this puppy.",false dilemma,fallacies of defective induction
Why must you always take such a stupid and uninformed approach to ethics?,intentional,fallacy of relevance
