split,sentence,label
train,"Your mom thinks you spend too much time playing video games. You bring up that
she spends too much time shopping.",fallacy of relevance
train,"Each brick in that building weighs less than a pound.  Therefore, the building weighs less than a pound.Example #2:
Hydrogen is not wet.  Oxygen is not wet.  Therefore, water (H2O) is not wet.
",faulty generalization
train,"Speaker 1: I think we should have an expanded social safety net for the poor in our country.
Speaker 2: So, you think we should just throw money at lazy people who don’t want to work and think they are entitled to be kept up by other people, right?",fallacy of extension
train,"Child: This fish tastes funny. I don’t want to eat this.
Parent: There are children starving in Africa. Eat your dinner.",fallacy of relevance
train,"Speaker 1: I think marijuana should be legalized. It would be better for the country if we didn’t have this drug war.
Speaker 2: Of course you think that. You’re a pothead.",ad hominem
train,"Maury: Please put all my chips on red 21.
Dealer: Are you sure you want to do that?  Red 21 just came up in the last spin.
Maury:  I didn’t know that!  Thank you!  Put it on black 15 instead.  I can’t believe I almost made that mistake!
",false causality
train,"Parent: I really don’t want you to smoke pot. It’s still illegal, and could get you into trouble.
Child: Didn’t you smoke pot when you were my age? You must not think it’s a big deal.",ad hominem
train," In 2011, Christian broadcaster, Harold Camping, (once again) predicted the end of the world via Jesus, and managed to get many Christians to join his alarmist campaign.  During this time, and especially after the Armageddon date had passed,  many Christian groups publicly declared that Camping is not a “true Christian”.  On a personal note, I think Camping was and is as much of a Christian as any other self-proclaimed Christian and religious/political/ethical beliefs aside, I give him credit for having the cojones to make a falsifiable claim about his religious beliefs.Example #2:
",intentional
train,"Speaker 1: I think it’s terrible that a game hunter killed Cecil the lion.
Speaker 2: What about all the babies that are killed every day by abortion?",fallacy of relevance
train,"Bruce is American, or he is not from New Jersey.
Bruce is not American, therefore, he is not from New Jersey.",fallacy of logic
train,"Speaker 1: We are using thousands of people, who are going door to door to help us spread the word about social injustice and the need for change.
Speaker: Well then, I can’t be a part of this because I was always been taught that it’s wrong to use people.",equivocation
train,"Callie: Did you know that Jake Tooten was a racist?
Chris: I know Jake well. Why do you say he’s a racist?
Callie: He was on a podcast the other day...
Chris: Did he say something racist?
Callie: No, but the podcast host did an interview two years ago with a woman who said she supported an organization that had a history of racism back in the 1960s. Jake clearly supports racism!
",faulty generalization
train,"Eric: For my lottery numbers, I chose 6, 14, 22, 35, 38, 40.  What did you choose?
Steve: I chose 1, 2, 3, 4, 5, 6.
Eric: You idiot!  Those numbers will never come up!
",false causality
train,"Dr. Simmons: I am working on a way to lengthen the human lifespan to about 200 years.
Misty: You are declaring war on Mother Nature, and Mother Nature always wins!
",equivocation
train,"Speaker 1: I think we should lower the age of sexual consent to 16.
Speaker 2: 16 year olds are children. So, you think it’s OK for children to have sex? No, we shouldn’t lower the age of consent.",fallacy of extension
train,"NASA: Yes, we really did successfully land men on the moon.
TinFoilHatGuy1969: Yeah, right. And Elvis is really dead.
",intentional
train,"NASA: Yes, we really did successfully land men on the moon.
TinFoilHatGuy1969: Yeah, right. And Elvis is really dead.
",intentional
train,"Speaker 1: Did you torture the prisoner?
Speaker 2: No, we just held him under water for a while, and then did a mock hanging.",equivocation
train,"Hydrogen is not wet.  Oxygen is not wet.  Therefore, water (H2O) is not wet.Example #3:
Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness.
",faulty generalization
train,"Pastor Pete: People are turning to God everywhere!  9 out of 10 people I interviewed said that they had a personal relationship with Jesus Christ.
Fred: Where did you find these people you interviewed?
Pastor Pete: In my church.
",faulty generalization
train,"Dr. Simmons: I am working on a way to lengthen the human lifespan to about 200 years.
Misty: You are declaring war on Mother Nature, and Mother Nature always wins!
",equivocation
train,"Lolita: Since about half the people in the world are female, the chances of the next person to walk out that door being female is about 50/50.
Celina: Do you realize that is the door to Dr. Vulvastein, the gynecologist?
",false causality
train,"Billy: How could the universe be 6000 years old when we know the speed of light, the distance of astronomical objects (13+ billion light years away), and the fact that the light has reached us[1]?
Marty: 6000 years is not a firm number.  The universe can be as old as about 10,000 years.
Billy: How do you figure that?...
",fallacy of relevance
train,"Marty: Doc, I'm from the future. I came here in a time machine that you invented. Now, I need your help to get back to the year 1985.
Doc: I've had enough practical jokes for one evening. Good night, future boy!
",intentional
train,"Speaker 1: I think marijuana should be legalized. It would be better for the country if we didn’t have this drug war.
Speaker 2: Of course you think that. You’re a pothead.",ad hominem
train,"Q: Did the President have an affair?
A: ""He's very busy at the moment with the Middle East Peace talks, and has no time for
 silly accusations."" ",fallacy of relevance
train,"Speaker 1: I think marijuana should be legalized. It would be better for the country if we didn’t have this drug war.
Speaker 2: Of course you think that. You’re a pothead.",ad hominem
train,"Jack: You should stop smoking - it's bad for you.
Jill: Look who's talking! You smoke three packs a day!",ad hominem
train,"Gus is Christian or Gus is politically liberal.
Gus is a Christian.
Therefore, Gus is not politically liberal.",fallacy of logic
train," Tony: I bought a book on the law of attraction and two days later I won $30k in a lottery. I wasn’t a believer of the law of attraction before, but now I am!
",false causality
dev,"Speaker 1: I’m against the war.
Speaker 2: You must hate our troops.",false dilemma
dev,"Speaker 1: No fault divorce is really harmful to the family and the larger society.
Speaker 2: Well, you must not really think that since you’re divorced yourself.",ad hominem
dev,"Premise: All black bears are omnivores.

Premise: All raccoons are omnivores.

Conclusion: All raccoons are black bears.",fallacy of logic
dev,"Speaker 1: I’m against the war.
Speaker 2: You must hate our troops.",false dilemma
dev,"Premise: All black bears are omnivores.

Premise: All raccoons are omnivores.

Conclusion: All raccoons are black bears.",fallacy of logic
test,"An influencer posts on Instagram that the restaurant ""EP is poppin'! Everyone worth knowing is here tonight - come on down!"" -- this is an example of: lbl02",ad populum
test,"But, Dad, I know you smoked when you were my age, so how can you tell me not to do it? lbl06",ad hominem
test,"The Earth is round.
Therefore, Trump. lbl09",fallacy of logic
test,"""I'm French and I don't like cheese.""
""All French like cheese.""
""I don't.""
""Then you must not really be French."" lbl11",intentional
test,SM 1: Second World War discussion lbl07,fallacy of extension
test,"""Running a marathon is very tiring because it is so exhausting."" lbl03",circular reasoning
test,"Mrs. Collier, we can't take a quiz tomorrow! The new season of Game of Thrones premieres tonight!! lbl04",fallacy of relevance
test,"”You can start a family early, or build financial stability for a better family life in the future.” lbl12",false dilemma
test,"""Be my friend or be my enemy."" lbl12",false dilemma
test,"Either you believe what I’m saying, or you must believe exactly the opposite. lbl12",false dilemma
test,Senator Smith says we should cut back the Defense budget. His position is that we should let down our defenses and just trust our enemies not to attack us! lbl07,fallacy of extension
test,The speaker or writer appeals to the audience's trust by establishing his credibility or trustworthiness as a writer or speaker? lbl10,fallacy of credibility
test,Caroline says that she thinks her friends should not be so rude to the new girl. Jenna says that she cannot believe that Caroline is choosing to be better friends with the new girl than the girls who have always known her. lbl07,fallacy of extension
test,"Mr. Stark's idea for implementing affirmative action in the university's admission process is complete folly. He say's he wants the student body to represent diversity in the community. But that's ridiculous. I suppose this means we'll have to throw out our academic standards while were at it. After all, if we're going to let students into our prestigious institution just because of their gender or the color of their skin, then what's going to happen to our reputation?

Identify the logical fallacy commited in this argument. lbl07",fallacy of extension
test,"When sales of hot chocolate go up, street crime drops. lbl01",false causality
test,"Lindsay's mom is concerned when she finds out that Lindsay skipped class one day. She tells Lindsay that she will now start skipping more frequently. Then she will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of her life.
What type of fallacy has Lindsay's mom committed? lbl05",faulty generalization
test,Stating that something should be done (or agreed to) because everyone else thinks this way. lbl02,ad populum
test,Eighty-five percent of those surveyed said that it is important to have a cell phone. lbl01,false causality
test,We know the virus started in a lab because it's too deadly to have just been the result of basic circumstance. But it hasn't been as deadly for China which proves that it's lab-made. Because it's deadly. lbl03,circular reasoning
test,"""Why are you hitting your computer!?""
""The last time my wifi was weak, I hit my computer and it got better."" What is this? lbl01",false causality
test,All people who live in England have bad teeth. lbl05,faulty generalization
test,"The majority of students are in favor of changing the colors of the graduation gowns to a single color to not exclude those that are non-binary, but a few people complained it wasn't ""tradition"" , so let's meet in the middle and just allow students to not attend graduation if they don't want to wear the traditional black and gold. lbl04",fallacy of relevance
test,One cigarette will lead youth to addiction lbl05,faulty generalization
test,Al Gore feels that all companies are irresponsible and should be punished for allowing emissions which causes global warming. lbl07,fallacy of extension
test,"'Cotton and grain crops were lower this year than last. So, people must be stealing them.""
This is an example of what kind of logical fallacy? lbl09",fallacy of logic
test,If you buy the Disney annual pass you will save money when visiting the happiest place on Earth! lbl11,intentional
test,Al Gore feels that all companies are irresponsible and should be punished for allowing emissions which causes global warming. lbl07,fallacy of extension
test,"Paige wants to play a guitar solo on our next recording. Her father is a horrible musician, though, so I doubt that Paula's any good either. lbl05",faulty generalization
test,"""everyone is doing it"" mentality lbl02",ad populum
test,Senator Smith says we should cut back the Defense budget. His position is that we should let down our defenses and just trust our enemies not to attack us! lbl07,fallacy of extension
test,"Aristotle thought women were inferior to men. Aristotle is one of the smartest men who ever lived, so he must be right about this. lbl10",fallacy of credibility
test,"""Running a marathon is very tiring because it is so exhausting."" lbl03",circular reasoning
test,"When a statement falsely claims or assumes an ""either / or"" situation, when in fact there is at least one additional logically valid option, it is called... lbl12",false dilemma
test,"Thomas: ""Dating apps are an effective way to meet potential dates. With people's busy work schedules nowadays, technology can help you make connections.""
Nina: ""Dating apps are dangerous! Most people are catfished, and guys usually pretend to be so much better than they really are online. If we're so busy, we won't have time for any of that, anyway.""
What fallacy is Nina leaning toward? lbl07",fallacy of extension
test,"Wife: Should we buy the house?
Husband: The Realtor didn’t say anything about any problems, so I am sure it is fine. Let’s get it!
 lbl05",faulty generalization
test,"""You are clearly just too young to understand this issue!"" lbl06",ad hominem
test,"When your mom gets your phone bill and you have gone over the limit, you begin talking to her about how hard your math class is and how well you did on a test today. lbl04",fallacy of relevance
test,"""I shouldn't have flunked the test because I never get F's"" is an example of lbl03",circular reasoning
test,"Mrs. Miller taught your older brother, who was the class clown. She decides to be strict with you from the very first day of class because she thinks you will be a clown, too. lbl05",faulty generalization
test,"I know for a fact that ghosts exist. My friend, who is a very reliable person, has seen ghosts on many occasions. lbl05",faulty generalization
test,"Mob of people: Lower taxes! Lower taxes!

Politician: People, your taxes are high because of illegal immigrants. That's right—illegal immigrants. We need to get rid of them.

Mob of people: (murmuring amongst themselves) Hmmm... immigrants. Let's get rid of them! lbl04",fallacy of relevance
test,Historians agree that studying the past is the best way to avoid repeating mistakes. lbl08,equivocation
test,Al Gore feels that all companies are irresponsible and should be punished for allowing emissions which causes global warming. lbl07,fallacy of extension
test,Students who want cell phones in school have no idea what they're talking about. lbl06,ad hominem
test,"we can't have the public option, because if we do, health care reform won't get the votes of senators like him. lbl03",circular reasoning
test,"A father talking to his daughter on dating a boyfriend he doesn’t like says, “If you continue dating this guy who doesn’t take his education seriously, you’ll end up dropping out of school, you then won’t be able to get a job, and you will get married too young.” lbl05",faulty generalization
test," Doug is convinced he has lucky underwear. One time when he forgot to put on his lucky underwear, he got a parking ticket. Doug concludes that because he forgot to wear his lucky underwear, he got the ticket. Doug doesn't wash his lucky underwear often. This part isn't relevant to the example, but it is disturbing nonetheless. lbl01",false causality
test,Students who want cell phones in school have no idea what they're talking about. lbl06,ad hominem
test,Smoking pot is against the law because it is wrong; I know it is wrong because it is against the law lbl03,circular reasoning
test,"My best friend says you’re a liar, so I’m not going to talk to you. lbl06",ad hominem
test,"“No! Don't eat that piece of chocolate. Today, it's one piece of chocolate, but tomorrow, you've gained 20 lbs!” lbl05",faulty generalization
test,"""Certainly this is the case at most colleges in America nowadays"" lbl02",ad populum
test,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money! lbl01",false causality
test,"Why should merely cracking down on terrorism help to stop it, when that method hasn't worked in any other country? lbl11",intentional
test,People who drive big cars probably hate the environment. lbl07,fallacy of extension
test,", that it must be true lbl02",ad populum
test,"""Her arguments against the protest were weak. After all, she can't be fair; she works for the government."" lbl06",ad hominem
test,Let’s go buy the iPhone X in spite of the $999 price tag--all of our friends have one already! lbl02,ad populum
test,The child did not do his chores so therefore all children are lazy. lbl05,faulty generalization
test,"we can't have the public option, because if we do, health care reform won't get the votes of senators like him. lbl03",circular reasoning
test,Everyone is going to get the new smart phone when it comes out this weekend. Why aren’t you? lbl02,ad populum
test,"Tony wants us to believe that the origin of life was an “accident”.  Tony is a godless SOB who has spent more time in jail than in church, so the only information we should consider from him is the best way to make license plates. lbl06",ad hominem
test,"Speaker 1: No fault divorce has proven to be detrimental to society and the family.
Speaker 2: You didn’t seem to think that when you got divorced. lbl06",ad hominem
test,French people are great at kissing.  Julie is French.  Get me a date! lbl05,faulty generalization
test,"""I'm French and I don't like cheese.""
""All French like cheese.""
""I don't.""
""Then you must not really be French."" lbl11",intentional
test,"Speaker 1 (Democrat): “Donald Trump is a known adulterer. It reflects badly on his character, and suggests he might not be trustworthy.”
Speaker 2 (Republican): “What about Bill Clinton? You didn’t seem to care when he cheated.” lbl06",ad hominem
test,"Paige wants to play a guitar solo on our next recording. Her father is a horrible musician, though, so I doubt that Paula's any good either. lbl05",faulty generalization
test,"""everyone is doing it"" mentality lbl02",ad populum
test,This fallacy attacks a position the opponent doesn’t really hold. lbl07,fallacy of extension
test,40 million people can't be wrong! Buy the new Iphone XIV today! lbl02,ad populum
test,I don't see how you can say you're an ethical person. It's so hard to get you to do anything; your work ethic is so bad lbl08,equivocation
test,"Lucas: I remember when I was about three years old my mother saved me from almost being eaten by a shark.
Katie: I doubt that. What you are experiencing is what cognitive psychologists refer to as a ""false memory.""
 lbl06",ad hominem
test,The speaker or writer appeals to the audience's trust by establishing his credibility or trustworthiness as a writer or speaker? lbl10,fallacy of credibility
test,"“McDonald’s has served 100 billion people in the world. It must be the best fast food restaurant in the world"" is an example of lbl02",ad populum
test,"It is immoral to kill an innocent human being.  Fetuses are innocent human  beings.  Therefore, it is immoral to kill fetuses. lbl08",equivocation
test,"You call the Marcoses murderers and plunderers yet you cannot lend me money for my school project, murdering my chance for a higher grade. You are just like them. lbl04",fallacy of relevance
test,"Mob of people: Lower taxes! Lower taxes!

Politician: People, your taxes are high because of illegal immigrants. That's right—illegal immigrants. We need to get rid of them.

Mob of people: (murmuring amongst themselves) Hmmm... immigrants. Let's get rid of them! lbl04",fallacy of relevance
test,"Aristotle thought women were inferior to men. Aristotle is one of the smartest men who ever lived, so he must be right about this. lbl10",fallacy of credibility
test,"Only asking 5 people their opinion about Christian Heritage and saying their opinions are the ""majority"" of people. lbl11",intentional
test,Big deal! Lots of people cheat too. lbl04,fallacy of relevance
test,This fallacy attacks a position the opponent doesn’t really hold. lbl07,fallacy of extension
test,"It is ridiculous to have spent thousands of dollars to rescue two whales trapped in the ice. Why, look at all the people trapped in jobs they don't like. lbl04",fallacy of relevance
test,"""Flight attendants are the nicest people. I should know—I’ve taken two flights."" lbl05",faulty generalization
test,Has your psychology department stopped teaching that ineffective approach to therapy yet? lbl03,circular reasoning
test,Violent video games are directly related to gun violence in schools and should be banned for teens. The school day should start an hour later. lbl04,fallacy of relevance
test,"Having come from the same political party, he is sure to communicate biased and untrue claims about his party-mates lbl06",ad hominem
test,"Your honor, while my son may have made a bad decision that night while under the influence of alcohol, it shouldn't affect the rest of his life. It was just one mistake. He's on the varsity swim team. lbl11",intentional
test,"When asked about his comments Trump made on his tape with Billy Bush, Trump responded, “It’s locker room talk, and it’s one of those things. I will knock the hell out of ISIS. We’re going to defeat ISIS. ISIS happened a number of years ago in a vacuum that was left because of bad judgment. And I will tell you, I will take care of ISIS.” lbl04",fallacy of relevance
test,"Don't ever steal! Once you start, you won't be able to stop, and you'll end up bankrupt. lbl05",faulty generalization
test,"""We must legalize weed, it is tearing families apart."" Response: ""But look at all those druggies getting arrested, they are obviously criminals."" lbl04",fallacy of relevance
test,"Louise is running for class president. In her campaign speech she says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year."" What fallacy has Louise committed?
http://www.funtrivia.com lbl06",ad hominem
test,Leonardo DiCaprio is just a dumb actor. What does he really know about climate change? lbl06,ad hominem
test,If you buy the Disney annual pass you will save money when visiting the happiest place on Earth! lbl11,intentional
test,"If I go to the bathroom, I will miss the notes, then I'll do poorly on a test, then I won't get into college, so I won't go to the bathroom. lbl05",faulty generalization
test,"Makes the claim that EVERYONE is using this product, and you should, too. lbl02",ad populum
test,We cannot listen to John’s opinion on global warming because he is a tree hugger. lbl06,ad hominem
test,"“We must accept the traditions of the men of old time who affirm themselves to be the offspring of the gods - that is what they say - and they must surely have known their own ancestors. How can we doubt the word of the children of the gods?” - Plato, Timaeus lbl03",circular reasoning
test,I dropped the ball because Mercury is in retrograde. lbl01,false causality
test,"It is immoral to kill an innocent human being.  Fetuses are innocent human  beings.  Therefore, it is immoral to kill fetuses. lbl08",equivocation
test,"Julie was trying to demonstrate to the audience of her speech that gender inequality is like ordering fast food. ""It's not good for us,"" she said, ""but we do it all the time and men tend to go out for a burger and fries more than women do.""
What fallacy is this? lbl09",fallacy of logic
test,“against the man;” attacking the individual rather than their position. lbl06,ad hominem
test,"Bill: Hey, did you hear we have a new operating system out now?  It is better than anything else out there because we just released it!
Steve: What’s it called?
Bill: Windows Vista!
Steve: Sounds wonderful!  I can’t wait until all of your users install it on all their computers!
 lbl10",fallacy of credibility
test,How many school shootings should we tolerate before we change the gun laws? lbl11,intentional
test,My brother received the COVID-19 vaccine and then had diarrhea for a week. The vaccine is the reason my brother's bowels came undone. lbl01,false causality
test,"Aristotle thought women were inferior to men. Aristotle is one of the smartest men who ever lived, so he must be right about this. lbl10",fallacy of credibility
test,Caroline says that she thinks her friends should not be so rude to the new girl. Jenna says that she cannot believe that Caroline is choosing to be better friends with the new girl than the girls who have always known her. lbl07,fallacy of extension
test,"Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world.  therefore, it's reasonable to conclude that chocolate helps keep your weight down. lbl01",false causality
test,Women can't do as good a job as men. lbl05,faulty generalization
test,"I know for a fact that ghosts exist. My friend, who is a very reliable person, has seen ghosts on many occasions. lbl05",faulty generalization
test,I would never buy a Buick. My father owned two of them and both of them had frequent transmission problems. Buicks obviously break down all the time. lbl05,faulty generalization
test,Encampment is like basic training. It’s CAP’s equivalent to Boot Camp. lbl09,fallacy of logic
test,"Lucas: I remember when I was about three years old my mother saved me from almost being eaten by a shark.
Katie: I doubt that. What you are experiencing is what cognitive psychologists refer to as a ""false memory.""
 lbl06",ad hominem
test,Christine has a terrible experience with a boyfriend. She decides that all boys are mean. lbl05,faulty generalization
test,He has smoked cigarettes his entire life and he doesn't have lung cancer. Therefore smoking doesn't cause lung cancer. lbl05,faulty generalization
test,"Rick: I need to know if we should stop for lunch or not.  You are either hungry or not hungry, which is it?

Tina: If being hungry is being able to eat, I am always hungry.
 lbl07",fallacy of extension
test,1 = a number; 2 = a number; therefore 1 = 2. lbl05,faulty generalization
test,"Cat Stevens may be a successful and skilled musician, but let's not forget that he's been accused of extremist religious and political views. lbl06",ad hominem
test," Perhaps the most classic example of this fallacy is the argument for the existence of God.  Due to the understanding of nature through science, many of the arguments that used to be used for God (or gods) were abandoned, only to be replaced with new ones, usually involving questions to which science has not definitively answered yet.  The move from creationism to intelligent design is a prime example.  Currently the origin of life is a popular argument for God (although a classic argument from ignorance), and an area where we very well may have a scientific answer in the next decade, at which time, the “origin of life” argument will fade away and be replaced by another, thus moving the figurative goalposts farther back as our understanding of the natural world increases.Exception: This fallacy should not be confused with an argument or set of arguments, with multiple propositions inherent in the argument.  The reason for the difference between this kind of argument and the moving the goalposts fallacy, is a subtle one, but indicated by a strong initial claim (“has to be”, “must”, “required for”, etc.) that gets answered and/or what appears to be ad hoc objections that follow eventually leading to an impossible request for proof.
Fun Fact: The name “moving the goalposts” comes from the analogy of kicking a perfect field goal in American football, only to have the goalposts be moved on you. This would be very unfair.
References:
This a logical fallacy frequently used on the Internet. No academic sources could be found.
Questions about this fallacy? Ask our community!
 lbl11",intentional
test,"'Cotton and grain crops were lower this year than last. So, people must be stealing them.""
This is an example of what kind of logical fallacy? lbl09",fallacy of logic
test,"The makers of Sugarette Candy Drinks point to research showing that of the five countries where Sugarette drinks sell the most units, three of them are in the top ten healthiest countries on Earth, therefore Sugarette drinks are healthy. lbl11",intentional
test,"Most heroin users started out smoking pot. If you start smoking pot, you’ll end up a heroin user, too. lbl09",fallacy of logic
test,"Accused on the 6 o'clock news of corruption and taking bribes, the senator said that we should all be very wary of the things we hear in the media, because we all know how very unreliable the media can be. lbl06",ad hominem
test,sending M-16s to Syrian rebels inevitably mean boots on the ground in Damascus. lbl05,faulty generalization
test,"""Russia has a terrible human rights record.""
""Well, the United States has done plenty of bad things, but we aren't a bad country, so Russia isn't, either."" -the President when confronted about Russia's human rights abuses. lbl04",fallacy of relevance
test,all bachelors are unmarried males lbl03,circular reasoning
test,Historians agree that studying the past is the best way to avoid repeating mistakes. lbl08,equivocation
test,"Don't try to tell me that you only watch educational programming, Emmy! I know for a fact that your sister only watches reality television. lbl05",faulty generalization
test,"I have no intention of stopping the use of somatostatin on patients suffering from acute pancreatitis. I consider it to be a very reasonable choice. After all, it has been standard practice in our department for many years and we’ve been quite satisfied with the results we’ve had. lbl10",fallacy of credibility
test,"A rainbow appeared in the sky the day before basketball tryouts, and I made the team! If there's a rainbow when I try out in the spring, I'm sure I'll make the team again. lbl01",false causality
test,"“I admire the president for being a good role model.” REPLY: “But the New York Times says he’s a lousy role model, so you’re wrong.” lbl10",fallacy of credibility
test,The Senator thinks we can solve all our ecological problems by driving a Prius. lbl07,fallacy of extension
test,"Audrey: I am a human being. I am not a cyborg from the future here to destroy humanity.
Fred: Prove that you are human! Cyborgs don't pass out when they lose a lot of blood. Here's a knife.
Audrey: Get to bed, Freddie. And no more SYFY channel before bed!
 lbl11",intentional
test,The Freehold Raceway Mall is the best mall because there are always so many cars there. lbl02,ad populum
test,Everyone is/is not doing it! It must/must not be a good thing! lbl02,ad populum
test,"Kids: If you wouldn't eat your dog, why eat a turkey? Go vegan. lbl09",fallacy of logic
test,"My grandfather was a typical Irishman - friendly, outgoing, and drunk half the time. lbl05",faulty generalization
test,"The makers of Sugarette Candy Drinks point to research showing that of the five countries where Sugarette drinks sell the most units, three of them are in the top ten healthiest countries on Earth, therefore Sugarette drinks are healthy. lbl11",intentional
test,Over one million students have purchased Brain Power. lbl02,ad populum
test,"An ad claims that 3 out of 4 real estate agents reccommend moving to Sunnyville, California. lbl10",fallacy of credibility
test,"""Truly helps cramming for a test: my psychological test is crowded and I have an A."" lbl01",false causality
test,"My sister-in-law, who is a teacher, said that this school is not somewhere that I would want to send my children. lbl10",fallacy of credibility
test,We must eliminate affirmative action. We can’t rely on laws to end racial prejudice. lbl04,fallacy of relevance
test,"While jogging around the neighborhood, you are more likely to get bitten by someone’s pet dog, than by any member of the canine species. lbl05",faulty generalization
test,Repeating the same thing as if you’re proving something lbl03,circular reasoning
