sentence,fine_class,sentence+prompt,prompt,coarse_class
"Claim: You can't give me a C in this course...
Reason: ... Because I am an A student.
Warrant: An A student is someone who can't receive Cs.",circular reasoning,Claim: You can't give me a C in this course... Reason:... Because I am an A student. Warrant: An A student is someone who can't receive Cs. ,,component fallacy
Covid-19 is like 10 people doing arts and crafts together and one of them is working with glitter. How many art projects in the group get glitter on them?,fallacy of logic,"Covid-19 is like 10 people doing arts and crafts together and one of them is working with glitter. How many art projects in the group get glitter on them? They could have just left the glitter out on the table where all the other people could have used it. Therefore, everyone should wash their hands before entering the room. Arg 1: covid-19 is like 10 people doing arts and crafts together. Arg 2: they should have just leaving the glitter out on the table where everyone could have used it. "," They could have just left the glitter out on the table where all the other people could have used it. Therefore, everyone should wash their hands before entering the room. Arg 1: covid-19 is like 10 people doing arts and crafts together. Arg 2: they should have just leaving the glitter out on the table where everyone could have used it. ",component fallacy
“four out of five dentists agree that brushing your teeth makes your life meaningful”,fallacy of credibility,“four out of five dentists agree that brushing your teeth makes your life meaningful” Claim Y: brushing your teeth makes your life meaningful Credibility: “four out of five dentists agree” , Claim Y: brushing your teeth makes your life meaningful Credibility: “four out of five dentists agree” ,fallacy of relevance
"We know God exists because we can see the perfect order of His Creation, an order which demonstrates supernatural intelligence in its design.",circular reasoning,"We know God exists because we can see the perfect order of His Creation, an order which demonstrates supernatural intelligence in its design. Claim X: can see the perfect order of his Creation Claim Y: God exists because we can see the perfect order of his Creation ", Claim X: can see the perfect order of his Creation Claim Y: God exists because we can see the perfect order of his Creation ,component fallacy
"Red had come up six times in a row on the roulette wheel, so Greg knew that it was close to certain that black would be next up. Suffering an economic form of natural selection with this thinking, he soon lost all of his savings.",ad populum,"Red had come up six times in a row on the roulette wheel, so Greg knew that it was close to certain that black would be next up. Suffering an economic form of natural selection with this thinking, he soon lost all of his savings. Population: red Belief: is close to certain that black will come up on the next turn Claim: he will soon lose all of his savings. ", Population: red Belief: is close to certain that black will come up on the next turn Claim: he will soon lose all of his savings. ,fallacy of relevance
We as the Board can either choose to approve this initial public offering or we can suffer slow annihilation at the hands of our competitors.,false dilemma,We as the Board can either choose to approve this initial public offering or we can suffer slow annihilation at the hands of our competitors. attack: slow annihilation claim: at the hands of our competitors , attack: slow annihilation claim: at the hands of our competitors ,component fallacy
"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'America’s streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.'",false causality,"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'America’s streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.' And it continues: 'It is a reasonable question whether this is merely a statistical artefact — are violent criminals being more likely and more successful in stealing, and thus more likely to get caught, or are the stolen devices, and the attention to playing those devices, leading thieves to use violence?' What is the argument for iPods and portable media devices? Why not TVs, radios, or even car stereos? The report notes that the amount of violence committed by youth using MP3 players, compared with those using only conventional sources of music, is twice as high, and concludes that if these devices were not available, the number of homicides in this country would be half what it is. "," And it continues: 'It is a reasonable question whether this is merely a statistical artefact — are violent criminals being more likely and more successful in stealing, and thus more likely to get caught, or are the stolen devices, and the attention to playing those devices, leading thieves to use violence?' What is the argument for iPods and portable media devices? Why not TVs, radios, or even car stereos? The report notes that the amount of violence committed by youth using MP3 players, compared with those using only conventional sources of music, is twice as high, and concludes that if these devices were not available, the number of homicides in this country would be half what it is. ",component fallacy
Cell phones stop students from concentrating in class because they are distracting.,circular reasoning,Cell phones stop students from concentrating in class because they are distracting. Arg 1: cell phones stop students from concentrating in class because they distract them. Arg 2: so students will not concentrate in class , Arg 1: cell phones stop students from concentrating in class because they distract them. Arg 2: so students will not concentrate in class ,component fallacy
"This fallacy assumes something is true (or right, or good) because other people agree with it.",ad populum,"This fallacy assumes something is true (or right, or good) because other people agree with it. Claim: assume something is true (or right, or good) because other people agree with it. Distortion: assume something is true (or right, or good) because other people say it is true (or right, or good) "," Claim: assume something is true (or right, or good) because other people agree with it. Distortion: assume something is true (or right, or good) because other people say it is true (or right, or good) ",fallacy of relevance
"John: Can you please help me push my car to the side of the road until the tow truck comes?
Paul: Why push it to the side of the road?  Why not just leave it?
John: It is slowing down traffic unnecessarily where it is.
Paul: Many things slow down traffic—do you feel you need to do something about all them?
John: No, but this was my fault.
Paul: Was it really? Were you the direct cause of your car breaking down?
John: Are you going to help me move this damn car or not?!
",fallacy of relevance,"John: Can you please help me push my car to the side of the road until the tow truck comes? Paul: Why push it to the side of the road? Why not just leave it? John: It is slowing down traffic unnecessarily where it is. Paul: Many things slow down traffic—do you feel you need to do something about all them? John: No, but this was my fault. Paul: Was it really? Were you the direct cause of your car breaking down? John: Are you going to help me move this damn car or not?! Paul: It is more important that I help you get to work quickly than your damned, broken down car. John: That was uncalled for. A: The sentences given look like part of a response to arguments expressed in an English text. That is, the first sentence, the one that begins each of the 10 cases, is a short response to the general point of the case, and the second sentence of that case introduces the counterargument, which is to be refuted in the third sentence. Sentence one: \ \ \ \ \ \ \ \ \ \ Sentence two is a counterargument about the first sentence because it criticizes the conclusion. Sentence three is a further rebuttal of that counterargument. Sentence four is a refutation of the second sentence of the case, that would otherwise be an effective argument against the conclusion. The remaining sentences (2 - 10) are a reply to arguments in the opponent's reply: Sentence five criticizes the first sentence: It dismisses an opinion without sufficient reason. Sentence six is a criticism against the argument in the case, that the writer's claim is unfair. Sentence seven criticizes the claims in the opposite argument: It says without sufficient reasons that his teacher is not consistent on the issue. The last sentences (8 - 13) are a response to the counterarguments of the opponent. The final four sentences (5, 14 - 16) are the author's own argument against the opponent's argument. I am the native speaker with an English degree, but I'd not seen this structure. <|endoftext|","aul: It is more important that I help you get to work quickly than your damned, broken down car. John: That was uncalled for. A: The sentences given look like part of a response to arguments expressed in an English text. That is, the first sentence, the one that begins each of the 10 cases, is a short response to the general point of the case, and the second sentence of that case introduces the counterargument, which is to be refuted in the third sentence. Sentence one: \ \ \ \ \ \ \ \ \ \ Sentence two is a counterargument about the first sentence because it criticizes the conclusion. Sentence three is a further rebuttal of that counterargument. Sentence four is a refutation of the second sentence of the case, that would otherwise be an effective argument against the conclusion. The remaining sentences (2 - 10) are a reply to arguments in the opponent's reply: Sentence five criticizes the first sentence: It dismisses an opinion without sufficient reason. Sentence six is a criticism against the argument in the case, that the writer's claim is unfair. Sentence seven criticizes the claims in the opposite argument: It says without sufficient reasons that his teacher is not consistent on the issue. The last sentences (8 - 13) are a response to the counterarguments of the opponent. The final four sentences (5, 14 - 16) are the author's own argument against the opponent's argument. I am the native speaker with an English degree, but I'd not seen this structure. <|endoftext|",fallacy of relevance
"Person 1: “I am for raising the minimum wage in our state.” Person 2: “She is for raising the minimum wage, but she is not even smart enough to run a business.",ad hominem,"Person 1: “I am for raising the minimum wage in our state.” Person 2: “She is for raising the minimum wage, but she is not even smart enough to run a business.” Choice 1: for raising the minimum wage Choice 2: not smart enough to run a business ",Choice 1: for raising the minimum wage Choice 2: not smart enough to run a business ,fallacy of relevance
"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters.",faulty generalization,"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters. What fallacy is this an example of? Event A:my roommate from Maine Event B: all people from Maine love lobsters. Cause: my roommate from Maine loves lobsters # <|endoftext|", What fallacy is this an example of? Event A:my roommate from Maine Event B: all people from Maine love lobsters. Cause: my roommate from Maine loves lobsters # <|endoftext|,component fallacy
"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante.

Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas.",fallacy of extension,"Charlie: I think we should put more money into schools. Quality public education is so important. Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists. Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante. Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas. Charlie: I believe we should invest more money in schools. Quality public education is very important. This is a sample of an essay about a topic that has a distorting argument (aka: an argument that sounds convincing to us but is actually wrong). I want to know if there are some patterns in the different types of distorting arguments (e.g. if there are 5 types of distorting arguments, this would be a pattern). I would say that the 5 types of distorting (fallacious) arguments are: A. Ad hominem B. Straw man C. Tu quoque D. False dilemma E. Appeal to popularity As you can see, a common pattern is that they are trying to distort or invalidate (in other words, ""attack"") someone's argument. A) ad hominem attacks are common and often people who use ad hominem attacks will also use another form of fallacious argument (often false dilemma or straw man). What this means is that ad hominem arguments usually try to invalidate the person's argument on the basis of their personal life. Here are some ad hominem attacks: Sentence 1: You are using the same argument that you used to justify your bad decisions in real estate, so stop misleading people. Claim: You are using the same argument that you used to justify your bad decisions in realtise Distortion: argument for the sake of argument Sentence 2: My opponent argues that we shouldn't support higher education because it is inefficient. He is trying to use the argumentation principle of appeal to popularity. Claim: my opponent argues that Distortion: appeal to popularity ","Charlie: I believe we should invest more money in schools. Quality public education is very important. This is a sample of an essay about a topic that has a distorting argument (aka: an argument that sounds convincing to us but is actually wrong). I want to know if there are some patterns in the different types of distorting arguments (e.g. if there are 5 types of distorting arguments, this would be a pattern). I would say that the 5 types of distorting (fallacious) arguments are: A. Ad hominem B. Straw man C. Tu quoque D. False dilemma E. Appeal to popularity As you can see, a common pattern is that they are trying to distort or invalidate (in other words, ""attack"") someone's argument. A) ad hominem attacks are common and often people who use ad hominem attacks will also use another form of fallacious argument (often false dilemma or straw man). What this means is that ad hominem arguments usually try to invalidate the person's argument on the basis of their personal life. Here are some ad hominem attacks: Sentence 1: You are using the same argument that you used to justify your bad decisions in real estate, so stop misleading people. Claim: You are using the same argument that you used to justify your bad decisions in realtise Distortion: argument for the sake of argument Sentence 2: My opponent argues that we shouldn't support higher education because it is inefficient. He is trying to use the argumentation principle of appeal to popularity. Claim: my opponent argues that Distortion: appeal to popularity ",component fallacy
"Sarah loves to wear running shoes, all girls must like to run.",faulty generalization,"Sarah loves to wear running shoes, all girls must like to run. Phenomenon: loves to wear running shoes Conclusion: all girls must like to run. ", Phenomenon: loves to wear running shoes Conclusion: all girls must like to run. ,component fallacy
"""Jose, join us because everybody will come to the party and only you will be left behind.""",ad populum,"""Jose, join us because everybody will come to the party and only you will be left behind."" Population: the rest of us Belief: will come to the party Claim: everybody will come to the party and only you will be left behind ", Population: the rest of us Belief: will come to the party Claim: everybody will come to the party and only you will be left behind ,fallacy of relevance
This is an example of which fallacy?,ad populum,"This is an example of which fallacy? What is the example? A\) the ""no free lunch"" fallacy - you can't get value without paying the price B\) The ""straw man fallacy"" "," What is the example? A\) the ""no free lunch"" fallacy - you can't get value without paying the price B\) The ""straw man fallacy"" ",fallacy of relevance
“You should always do what you are being told because following the rules is important.”,circular reasoning,“You should always do what you are being told because following the rules is important.” Population: people “being told” Belief:do what they are being told Claim: always do what they are being told. , Population: people “being told” Belief:do what they are being told Claim: always do what they are being told. ,component fallacy
"If we allow students to have cell phones, it will lead to chaos in the classroom.  If we have chaos in the classroom, the students will fail to learn.  If they fail to learn, their lives will be ruined forever!",faulty generalization,"If we allow students to have cell phones, it will lead to chaos in the classroom. If we have chaos in the classroom, the students will fail to learn. If they fail to learn, their lives will be ruined forever! A: Here it is: They mean that the student who brings up such arguments are ""not good students"". We don't have a direct quote from what these students said, but the argument they are making is based on this quote, which is similar to what was said: Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong. The bold parts are all direct quotes (although Kelly is not named). Notice that they don't make any statements about the person who used these arguments; the person would have to state them. Also you don't identify the situation from which these arguments came (i.e. ""a school"") which means the situation (a school) is unspecific and, therefore, not identifiable. <|endoftext|",": Here it is: They mean that the student who brings up such arguments are ""not good students"". We don't have a direct quote from what these students said, but the argument they are making is based on this quote, which is similar to what was said: Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong. The bold parts are all direct quotes (although Kelly is not named). Notice that they don't make any statements about the person who used these arguments; the person would have to state them. Also you don't identify the situation from which these arguments came (i.e. ""a school"") which means the situation (a school) is unspecific and, therefore, not identifiable. <|endoftext|",component fallacy
Andanar is unfit for the position because he seems unqualified for it.,circular reasoning,"Andanar is unfit for the position because he seems unqualified for it. Logic x:Andanar is unfit for the position Logic y: he seems unqualified for the position Andi is a good listener because Andi is a good listener, and Andi is a good listener. Logic x: Andi is a good listener Logic y: an"," Logic x:Andanar is unfit for the position Logic y: he seems unqualified for the position Andi is a good listener because Andi is a good listener, and Andi is a good listener. Logic x: Andi is a good listener Logic y: an",component fallacy
War on drugs instills fear to criminals so it can stop the crimes in the Philippines.,faulty generalization,"War on drugs instills fear to criminals so it can stop the crimes in the Philippines. Phenomenon: instills fear to criminals, so stops crimes in Philippines Conclusion: instills fear to criminals so it can stop the crimes "," Phenomenon: instills fear to criminals, so stops crimes in Philippines Conclusion: instills fear to criminals so it can stop the crimes ",component fallacy
"Allowing overnight guests in the dorm rooms will lead to nothing but trouble: promiscuity, teen pregnancy, and eventually, a bunch of unwed mothers on campus, trying to complete their degrees while raising a child.",faulty generalization,"Allowing overnight guests in the dorm rooms will lead to nothing but trouble: promiscuity, teen pregnancy, and eventually, a bunch of unwed mothers on campus, trying to complete their degrees while raising a child. Phenomenon: allowed overnight guests in dorm rooms Conclusion: will lead to trouble ", Phenomenon: allowed overnight guests in dorm rooms Conclusion: will lead to trouble ,component fallacy
"Joseph can’t be class president, he’s poor!”",ad hominem,"Joseph can’t be class president, he’s poor!” Choice 1: Joseph can’t be class president, he’s poor! Choice 2: Joseph can’t be class president, he’s poor! ","Choice 1: Joseph can’t be class president, he’s poor! Choice 2: Joseph can’t be class president, he’s poor! ",fallacy of relevance
"All cats are felines.
All dogs are canines.
Therefore, all cats are canines.",fallacy of logic,"All cats are felines. All dogs are canines. Therefore, all cats are canines. ",,component fallacy
"“Your coach’s policy is that no one can be a starter on game day if they miss practice. So, if you miss basketball practice today, you won’t be a starter in Friday’s game. Then you won’t be the first freshman to start on the Varsity basketball team at our school.”'",faulty generalization,"“Your coach’s policy is that no one can be a starter on game day if they miss practice. So, if you miss basketball practice today, you won’t be a starter in Friday’s game. Then you won’t be the first freshman to start on the Varsity basketball team at our school.”' Arg 1: “your coach’s policy is: no one can be a starter on game day if they miss practice” Arg 2: your coach’s policy is: no one can be a starter if they miss practice ", Arg 1: “your coach’s policy is: no one can be a starter on game day if they miss practice” Arg 2: your coach’s policy is: no one can be a starter if they miss practice ,component fallacy
we should not build bike lanes because cyclists run red lights,fallacy of extension,we should not build bike lanes because cyclists run red lights Claim: should not build bike lanes Distortion: cyclists run red lights , Claim: should not build bike lanes Distortion: cyclists run red lights ,component fallacy
"  Homosexuality is / ought to be morally wrong (moral property) because it is not normal (natural property).
or
Homosexuality is not normal (natural property); therefore, it is / ought to be morally wrong (moral property).",fallacy of credibility," Homosexuality is / ought to be morally wrong (moral property) because it is not normal (natural property). or Homosexuality is not normal (natural property); therefore, it is / ought to be morally wrong (moral property). (natural property vs. moral property) Claim: Normal or Natural Property vs. Moral Property Distortion: Normal or Natural Property ",(natural property vs. moral property) Claim: Normal or Natural Property vs. Moral Property Distortion: Normal or Natural Property ,fallacy of relevance
"The Bible is the Word of God because God tells us it is... in the Bible.

X is true because of Y.
Y is true because of X.",circular reasoning,"The Bible is the Word of God because God tells us it is... in the Bible. X is true because of Y. Y is true because of X. A: If you break each sentence down in logical terms, it becomes clear what's going on... The best explanation is the easiest and most straightforward (which is why I started off with 'The best explanation of the universe is:...) as those explanations are usually written by scientists or philosophers (at least, the ones whose work is translated into English). Sentences 1: Cell phones don't stop you from concentrating, as you concentrate in your school class. I'm simplifying slightly, by assuming that the speaker has their phone in their pocket and are talking about concentration whe","A: If you break each sentence down in logical terms, it becomes clear what's going on... The best explanation is the easiest and most straightforward (which is why I started off with 'The best explanation of the universe is:...) as those explanations are usually written by scientists or philosophers (at least, the ones whose work is translated into English). Sentences 1: Cell phones don't stop you from concentrating, as you concentrate in your school class. I'm simplifying slightly, by assuming that the speaker has their phone in their pocket and are talking about concentration whe",component fallacy
"I. The Ganges river is flooded due to large sheets of ice coming down from the Himalayas.
II. Many people in the Himalayan ranges lost their houses under huge sheets of ice.",false causality,I. The Ganges river is flooded due to large sheets of ice coming down from the Himalayas. II. Many people in the Himalayan ranges lost their houses under huge sheets of ice. a) The Himalayas cause the Ganges river to flood. b) The Himalayas are flooded due to the Ganges. c) The Ganges river are flooded because the Himalayas are melting due to global warming. , a) The Himalayas cause the Ganges river to flood. b) The Himalayas are flooded due to the Ganges. c) The Ganges river are flooded because the Himalayas are melting due to global warming. ,component fallacy
"Sometimes flu vaccines don’t work, therefore vaccines are useless.",faulty generalization,"Sometimes flu vaccines don’t work, therefore vaccines are useless. Arg 1: Sometimes flu vaccines don't work Arg 2: are useless ", Arg 1: Sometimes flu vaccines don't work Arg 2: are useless ,component fallacy
Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity.,ad hominem,Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity. Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity. Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choice an activity., Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity. Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choice an activity.,fallacy of relevance
A commercial claims that a specific brand of cereal is the best way to start the day because athlete Michael Jordan says that it is what he eats every day for breakfast.,fallacy of credibility,"A commercial claims that a specific brand of cereal is the best way to start the day because athlete Michael Jordan says that it is what he eats every day for breakfast. Athletes also drink orange juice to stay hydrated. In other words, it is claimed that the manufacturer has paid athletes to say that the cereal is good for you. Event A: cereal brand Event B: athlete claims Cause: the cereal brand is good for you "," Athletes also drink orange juice to stay hydrated. In other words, it is claimed that the manufacturer has paid athletes to say that the cereal is good for you. Event A: cereal brand Event B: athlete claims Cause: the cereal brand is good for you ",fallacy of relevance
"This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong!",ad populum,"This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong! This fast food chain claims that they've served five billion people, so they must have hamburgers that are the best in town. Five billion people can't be wrong! attack: hamburgers that are the best in town claim: Five billion people can't be wrong! And these claims are just one part of the problem. The test is about sentence comprehension, not grammar. This would be a tough one for a student to identify and pass as an ESL student, and would likely trigger a ""spelling"" or ""grammar"" issue in grade 2 when the student's comprehension of the language improves. Some claims are right, but some are wrong Your claim #3: M"," This fast food chain claims that they've served five billion people, so they must have hamburgers that are the best in town. Five billion people can't be wrong! attack: hamburgers that are the best in town claim: Five billion people can't be wrong! And these claims are just one part of the problem. The test is about sentence comprehension, not grammar. This would be a tough one for a student to identify and pass as an ESL student, and would likely trigger a ""spelling"" or ""grammar"" issue in grade 2 when the student's comprehension of the language improves. Some claims are right, but some are wrong Your claim #3: M",fallacy of relevance
"Oh, please. What would you know about labor laws? You don’t even have a job.",ad hominem,"Oh, please. What would you know about labor laws? You don’t even have a job. It’s not “right wing” that most workers get treated poorly. We don’t have a chance in hell of winning this election. And even if you did, this doesn’t help your case. It’s not all-or-nothing. You’ve got an entire half of your argument wrong. It seems like yo"," It’s not “right wing” that most workers get treated poorly. We don’t have a chance in hell of winning this election. And even if you did, this doesn’t help your case. It’s not all-or-nothing. You’ve got an entire half of your argument wrong. It seems like yo",fallacy of relevance
He said a lovely lady like me doesn't have to worry about his bear because this is a man-eating bear.,equivocation,He said a lovely lady like me doesn't have to worry about his bear because this is a man-eating bear. statement: said a lovely lady like me doesn't have to bother about him bear premise: a man eating bear conclusion: worry about his wife , statement: said a lovely lady like me doesn't have to bother about him bear premise: a man eating bear conclusion: worry about his wife ,equivocation
"I am committed to preserving traditional marriage, the union of one man and one woman.",fallacy of credibility,"I am committed to preserving traditional marriage, the union of one man and one woman. Claim Y: preserve traditional marriage, the union of one man and one woman Credibility: I am committed to preserving traditional marriage "," Claim Y: preserve traditional marriage, the union of one man and one woman Credibility: I am committed to preserving traditional marriage ",fallacy of relevance
"My father smoked four packs of cigarettes a day since age fourteen and lived until age sixty-nine. Therefore, smoking really can’t be that bad for you.",faulty generalization,"My father smoked four packs of cigarettes a day since age fourteen and lived until age sixty-nine. Therefore, smoking really can’t be that bad for you. Sentence 17: I don\\\'t know what you mean you. I just work as a secretary. I don\\\'t understand those long sentences with a lot of words. Argument: I don\\\'t know what you mean you Intention: you just work as a secretary ", Sentence 17: I don\\\'t know what you mean you. I just work as a secretary. I don\\\'t understand those long sentences with a lot of words. Argument: I don\\\'t know what you mean you Intention: you just work as a secretary ,component fallacy
"If this client is competent to stand trial, she will certainly know the answers to at least 80% of the questions on this standardized test. She knows the answers to 87% of the test questions. Therefore she is competent to stand trial.",fallacy of logic,"If this client is competent to stand trial, she will certainly know the answers to at least 80% of the questions on this standardized test. She knows the answers to 87% of the test questions. Therefore she is competent to stand trial. Arg 1: if client is competent to stand trial, will know the answers 80% of the test Arg 2: knows the answers 87% of the test questions "," Arg 1: if client is competent to stand trial, will know the answers 80% of the test Arg 2: knows the answers 87% of the test questions ",component fallacy
Pre-AP kids are smart and creative.,faulty generalization,Pre-AP kids are smart and creative. The real trick for kids is not being afraid of failure. Claim: pre-AP kids are smart and creative. Distortion: don't fear failure, The real trick for kids is not being afraid of failure. Claim: pre-AP kids are smart and creative. Distortion: don't fear failure,component fallacy
