predictions,true_labels,amr_str
fallacy of extension,fallacy of extension,"# ::snt MSK0 Jones : "" The university just cut MSK1 yearly budget by $ 10,000 . "" MSK0 Smith : "" What are MSK1 going to do ? "" MSK2 : "" MSK2 think MSK1 should eliminate one of the teaching assistant positions . MSK3 would take care of MSK3 . "" MSK0 MSK4 : "" MSK1 could reduce MSK1 scheduled raises instead . "" MSK0 Brown : "" I ca n't understand why you want to bleed MSK1 dry like that , MSK4 . "" 
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""
                        :op2 ""Jones""))
            :ARG1 (c / cut-02
                  :ARG0 (u / university)
                  :ARG1 (b / budget-01
                        :ARG2 (p2 / product
                              :name (n2 / name
                                    :op1 ""MSK1""))
                        :frequency (r / rate-entity-91
                              :ARG3 (t / temporal-quantity
                                    :quant 1
                                    :unit (y / year))))
                  :ARG2 (m2 / monetary-quantity
                        :quant 10000
                        :unit (d / dollar))
                  :mod (j / just)))
      :snt2 (s2 / say-01
            :ARG0 (p3 / person
                  :name (n3 / name
                        :op1 ""MSK0""
                        :op2 ""Brown""))
            :ARG1 (p4 / possible-01
                  :polarity -
                  :ARG1 (u2 / understand-01
                        :ARG0 p3
                        :ARG1 (t2 / thing
                              :ARG0-of (c2 / cause-01
                                    :ARG1 (w / want-01
                                          :ARG0 (y2 / you)
                                          :ARG1 (b2 / bleed-01
                                                :ARG0 y2
                                                :ARG1 (a / and
                                                      :op1 p2
                                                      :op2 (p5 / product
                                                            :name (n4 / name
                                                                  :op1 ""MSK4"")))
                                                :ARG1-of (r2 / resemble-01
                                                      :ARG2 (t3 / that)))))))))
      :snt3 (s3 / say-01
            :ARG0 (p6 / person
                  :name (n5 / name
                        :op1 ""MSK2""))
            :ARG1 (t4 / think-01
                  :ARG0 (p7 / person
                        :name (n6 / name
                              :op1 ""MSK3""))
                  :ARG1 (r3 / recommend-01
                        :ARG1 (r4 / reduce-01
                              :ARG0 p7
                              :ARG1 (r5 / raise-01
                                    :ARG1 p2
                                    :ARG1-of (s4 / schedule-01))
                              :ARG1-of (ii / instead-of-91
                                    :ARG2 b2))))))"
fallacy of relevance,fallacy of relevance,"# ::snt uses irrelevant information or other techniques to distract from the argument at hand 
(u / use-01
      :ARG1 (o / or
            :op1 (ii / information
                  :ARG1-of (r / relevant-01
                        :polarity -))
            :op2 (t / technique
                  :mod (o2 / other)))
      :ARG2 (d / distract-01
            :ARG2 (a / argue-01
                  :ARG2-of (a2 / at-hand-14))))"
fallacy of logic,fallacy of logic,"# ::snt If MSK0 MSK3 , MSK0 will MSK5 . MSK0 MSK5 . Therefore , MSK0 MSK3 . 
(m / multi-sentence
      :snt1 (h / have-condition-91
            :ARG1 (e / equal-01
                  :ARG1 (t / thing
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG2 (t2 / thing
                        :name (n2 / name
                              :op1 ""MSK5"")))
            :ARG2 (e2 / equal-01
                  :ARG1 t
                  :ARG2 t2))
      :snt2 (c / cause-01
            :ARG1 (e3 / equal-01
                  :ARG1 (t3 / thing
                        :name (n3 / name
                              :op1 ""MSK0""))
                  :ARG2 (t4 / thing
                        :name (n4 / name
                              :op1 ""MSK3"")))))"
fallacy of extension,fallacy of extension,"# ::snt MSK0 did n't want to participate in the beach cleanup . Later , MSK0 says "" MSK0 ca n't MSK1 MSK0 does n't MSK1 in climate change "" . 
(m / multi-sentence
      :snt1 (w / want-01
            :polarity -
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (p2 / participate-01
                  :ARG0 p
                  :ARG1 (c / clean-up-02
                        :ARG1 (b / beach))))
      :snt2 (s / say-01
            :ARG0 (p3 / person
                  :name (n2 / name
                        :op1 ""MSK0""))
            :ARG1 (a / and
                  :op1 (p4 / possible-01
                        :polarity -
                        :ARG1 (p5 / person
                              :name (n3 / name
                                    :op1 ""MSK0"")))
                  :op2 (p6 / possible-01
                        :polarity -
                        :ARG1 (p7 / person
                              :name (n4 / name
                                    :op1 ""MSK1"")))
                  :op3 (c2 / change-01
                        :polarity -
                        :ARG1 (c3 / climate)))
            :time (a2 / after)))"
fallacy of credibility,fallacy of credibility,"# ::snt MSK0 is made from a plant that grows in Zambia . MSK0 must be healthier than taking that medication , which is full of chemicals I ca n't pronounce . 
(m / make-01
      :ARG1 (p / protein
            :name (n / name
                  :op1 ""MSK0""))
      :ARG2 (p2 / plant
            :ARG1-of (g / grow-03
                  :location (c / country
                        :name (n2 / name
                              :op1 ""Zambia""))))
      :ARG0-of (c2 / cause-01
            :ARG1 (ii / infer-01
                  :ARG1 (h / have-degree-91
                        :ARG1 p
                        :ARG2 (h2 / healthy)
                        :ARG3 (m2 / more)
                        :ARG4 (t / take-01
                              :ARG1 (m3 / medication
                                    :mod (t2 / that)
                                    :ARG1-of (f / full-09
                                          :ARG2 (c3 / chemical
                                                :ARG1-of (p3 / pronounce-01
                                                      :ARG0 (ii2 / i)
                                                      :ARG1-of (p4 / possible-01
                                                            :polarity -))))))))))"
fallacy of relevance,ad populum,"# ::snt MSK0 know MSK1 said that the Bridges of Madison County was smarmy trash and lacked any artistic worth . But MSK0 still think MSK1 's wrong . After all , it was on the best - seller list for over 100 weeks . Identify the logical fallacy commited in this argument . 
(m / multi-sentence
      :snt1 (k / know-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (s / say-01
                  :ARG0 (p2 / person
                        :name (n2 / name
                              :op1 ""MSK1""))
                  :ARG1 (a / and
                        :op1 (t / trash
                              :mod (s2 / smarmy)
                              :domain (b / bridge
                                    :location (c / county
                                          :name (n3 / name
                                                :op1 ""Madison""
                                                :op2 ""County""))))
                        :op2 (l / lack-01
                              :ARG0 b
                              :ARG1 (w / worth-01
                                    :ARG1 b
                                    :ARG2 (a2 / art))))))
      :snt2 (c2 / contrast-01
            :ARG2 (t2 / think-01
                  :ARG0 (p3 / person
                        :name (n4 / name
                              :op1 ""MSK0""))
                  :ARG1 (w2 / wrong-04
                        :ARG1 p2)
                  :mod (s3 / still)))
      :snt3 (ii / identify-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (f / fallacy
                  :mod (l2 / logic)
                  :ARG1-of (c3 / commit-02
                        :ARG0 (t3 / thing
                              :ARG1-of (a3 / argue-01)
                              :mod (t4 / this)))))
      :snt4 (b2 / be-located-at-91
            :ARG1 (ii2 / it)
            :ARG2 (t5 / thing
                  :ARG2-of (l3 / list-01)
                  :mod (t6 / thing
                        :ARG1-of (s4 / sell-01)
                        :ARG1-of (h / have-degree-91
                              :ARG2 (g / good-02
                                    :ARG1 t6)
                              :ARG3 (m2 / most))))
            :mod (a4 / after-all)
            :duration (o / over
                  :op1 (t7 / temporal-quantity
                        :quant 100
                        :unit (w3 / week)))))"
fallacy of extension,fallacy of extension,"# ::snt MSK0 want to try to control everyone by subjecting MSK0 to rewards and punishments . 
(w / want-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""MSK0""))
      :ARG1 (t / try-01
            :ARG0 p
            :ARG1 (c / control-01
                  :ARG0 p
                  :ARG1 (e / everyone)
                  :manner (s / subject-01
                        :ARG0 p
                        :ARG1 p
                        :ARG2 (a / and
                              :op1 (r / reward-01
                                    :ARG1 p)
                              :op2 (p2 / punish-01
                                    :ARG1 p))))))"
fallacy of logic,fallacy of logic,"# ::snt If MSK0 are MSK1 , MSK2 will have more MSK3 to MSK4 . MSK2 have more MSK3 to MSK4 . Therefore , MSK0 must have been MSK1 . 
(m / multi-sentence
      :snt1 (h / have-03
            :ARG0 (t / thing
                  :name (n / name
                        :op1 ""MSK2""))
            :ARG1 (t2 / thing
                  :name (n2 / name
                        :op1 ""MSK3"")
                  :ARG1-of (h2 / have-quant-91
                        :ARG3 (m2 / more)
                        :ARG4 (t3 / thing
                              :name (n3 / name
                                    :op1 ""MSK4""))))
            :condition (h3 / have-03
                  :ARG0 t
                  :ARG1 t3))
      :snt2 (ii / infer-01
            :ARG1 (t4 / thing
                  :name (n4 / name
                        :op1 ""MSK1"")
                  :domain (t5 / thing
                        :name (n5 / name
                              :op1 ""MSK0"")))))"
faulty generalization,appeal to emotion,"# ::snt If there is no MSK0 , then MSK1 are not ultimately in control of MSK1 actions . If MSK2 is true , MSK1 entire system of justice would be seriously flawed . MSK2 would be very bad ; therefore , MSK0 must exist . 
(m / multi-sentence
      :snt1 (c / control-01
            :polarity -
            :ARG0 (t / thing
                  :name (n / name
                        :op1 ""MSK1""))
            :ARG1 (a / act-02
                  :ARG0 t)
            :mod (u / ultimate)
            :condition (e / exist-01
                  :polarity -
                  :ARG1 t))
      :snt2 (f / flaw-01
            :ARG1 (s / system
                  :mod (j / justice)
                  :mod (e2 / entire)
                  :poss (t2 / thing
                        :name (n2 / name
                              :op1 ""MSK2"")))
            :ARG1-of (s2 / serious-02)
            :condition (t3 / true-01
                  :ARG1 t2))
      :snt3 (b / bad-07
            :ARG1 (t4 / thing
                  :name (n3 / name
                        :op1 ""MSK2""))
            :degree (v / very)
            :ARG0-of (c2 / cause-01
                  :ARG1 (o / obligate-01
                        :ARG1 (e3 / exist-01
                              :ARG1 (t5 / thing
                                    :name (n4 / name
                                          :op1 ""MSK0"")))))))"
fallacy of credibility,fallacy of credibility,"# ::snt MSK0 never used to have cell phones so MSK0 do n't need MSK0 now . 
(c / cause-01
      :ARG0 (h / have-03
            :polarity -
            :ARG0 (p / product
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (p2 / phone
                  :mod (c2 / cell))
            :time (u / use-03)
            :time (e / ever))
      :ARG1 (n2 / need-01
            :polarity -
            :ARG0 p
            :time (n3 / now)))"
faulty generalization,faulty generalization,"# ::snt All football players are dumb jocks . 
(j / jock
      :mod (d / dumb)
      :domain (p / person
            :ARG0-of (p2 / play-01
                  :ARG1 (f / football))
            :mod (a / all)))"
faulty generalization,faulty generalization,"# ::snt "" MSK0 cousin said her MSK2 was MSK3 . The one that MSK0 ’m in is MSK3 too . All MSK2 must be MSK3 . "" This statement is an example of … 
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 (p2 / product
                              :name (n / name
                                    :op1 ""MSK0""))
                        :ARG2 (c / cousin)))
            :ARG1 (p3 / product
                  :name (n2 / name
                        :op1 ""MSK3"")
                  :domain (p4 / product
                        :name (n3 / name
                              :op1 ""MSK2""))
                  :mod (t / too)))
      :snt2 (o / obligate-01
            :ARG2 (p5 / product
                  :name (n4 / name
                        :op1 ""MSK3"")
                  :domain (p6 / product
                        :name (n5 / name
                              :op1 ""MSK2"")
                        :mod (a / all))))
      :snt3 (e / exemplify-01
            :ARG0 (s2 / state-01
                  :ARG1 (t2 / this))))"
ad hominem,ad hominem,"# ::snt "" In MSK0 class president election video , MSK0 called MSK0 student opponent ' a brown - nosing , suck up who only wanted to get on the teacher 's good side , ' which got MSK0 disqualified "" IS an example of THIS fallacy . 
(e / exemplify-01
      :ARG0 (c / call-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (p2 / person
                  :ARG0-of (o / oppose-01
                        :ARG1 p)
                  :ARG0-of (s / study-01
                        :ARG1 p))
            :ARG2 (a / and
                  :op1 (n2 / nose
                        :mod (b / brown))
                  :op2 (s2 / suck-up-02)
                  :ARG0-of (w / want-01
                        :ARG1 (g / get-on-20
                              :ARG1 (s3 / side
                                    :ARG1-of (g2 / good-02)
                                    :poss (p3 / person
                                          :ARG0-of (t / teach-01))))
                        :mod (o2 / only)))
            :ARG0-of (d / disqualify-01
                  :ARG1 p)
            :medium (v / video
                  :topic (e2 / elect-01
                        :ARG1 p
                        :ARG2 (p4 / president
                              :ARG2-of (h / have-org-role-91
                                    :ARG0 p
                                    :ARG1 (c2 / class))))))
      :ARG1 (f / fallacy
            :mod (t2 / this)))"
intentional,intentional,"# ::snt MSK0 : MSK1 have tiny , invisible unicorns living in MSK1 anus . MSK2 : How do MSK2 figure ? MSK0 : Can MSK2 prove that MSK1 do n't ? MSK2 : No . MSK0 : Then MSK1 do . 
(m / multi-sentence
      :snt1 (h / have-03
            :ARG0 (t / thing
                  :name (n / name
                        :op1 ""MSK1"")
                  :part (a / anus))
            :ARG1 (u / unicorn
                  :mod (t2 / tiny)
                  :ARG1-of (s / see-01
                        :ARG1-of (p / possible-01
                              :polarity -))
                  :ARG0-of (l / live-01
                        :location a)))
      :snt2 (f / figure-06
            :ARG0 (t3 / thing
                  :name (n2 / name
                        :op1 ""MSK2"")
                  :part a)
            :ARG1 (a2 / amr-unknown))
      :snt3 (p2 / possible-01
            :ARG1 (p3 / prove-01
                  :ARG0 (t4 / thing
                        :name (n3 / name
                              :op1 ""MSK2"")
                        :part a)
                  :ARG1 (d / do-02
                        :polarity -
                        :ARG0 (t5 / thing
                              :name (n4 / name
                                    :op1 ""MSK1""))))
            :polarity (a3 / amr-unknown))
      :snt4 (n5 / no)
      :snt5 (h2 / have-condition-91
            :ARG1 (d2 / do-02
                  :ARG0 (t6 / thing
                        :name (n6 / name
                              :op1 ""MSK1"")))
            :ARG2 (t7 / then)))"
ad hominem,ad hominem,"# ::snt Dismissing someone 's viewpoint on an issue because he himself is inconsistent in that very thing . 
(c / cause-01
      :ARG0 (c2 / consistent-02
            :polarity -
            :ARG1 (s / someone)
            :ARG2 (t / thing
                  :mod (t2 / that)
                  :mod (v / very)))
      :ARG1 (d / dismiss-01
            :ARG1 (v2 / viewpoint
                  :poss s
                  :topic (ii / issue-02))))"
circular reasoning,faulty generalization,"# ::snt Using the second amendment as justification to allow civilians to own nuclear submarines . 
(u / use-01
      :ARG1 (l / law
            :name (n / name
                  :op1 ""Second""
                  :op2 ""Amendment""))
      :ARG2 (j / justify-01
            :ARG1 (a / allow-01
                  :ARG1 (o / own-01
                        :ARG0 (c / civilian)
                        :ARG1 (s / submarine
                              :mod (n2 / nucleus))))))"
fallacy of logic,faulty generalization,"# ::snt MSK0 is made of MSK1 . MSK1 are not the MSK2 of MSK3 . Therefore , MSK0 can not be the MSK2 of MSK3 . 
(m / multi-sentence
      :snt1 (m2 / make-01
            :ARG1 (t / thing
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG2 (t2 / thing
                  :name (n2 / name
                        :op1 ""MSK1"")))
      :snt2 (p / product
            :polarity -
            :name (n3 / name
                  :op1 ""MSK2"")
            :part-of (p2 / product
                  :name (n4 / name
                        :op1 ""MSK3""))
            :domain (t3 / thing
                  :name (n5 / name
                        :op1 ""MSK1"")))
      :snt3 (c / cause-01
            :ARG1 (p3 / possible-01
                  :polarity -
                  :ARG1 (p4 / product
                        :name (n6 / name
                              :op1 ""MSK2"")
                        :part-of (p5 / product
                              :name (n7 / name
                                    :op1 ""MSK3""))
                        :domain t3))))"
appeal to emotion,intentional,"# ::snt MSK0 wrote about 500 years ago : Beasts wild with hunger will cross the rivers , The greater part of the battle will be against Hister . MSK0 will cause great men to be dragged in a cage of iron , When the son of Germany obeys no law . Surely MSK0 must have had some vision of Hitler ! 
(m / multi-sentence
      :snt1 (w / write-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (a / and
                  :op1 (c / cross-02
                        :ARG0 (b / beast
                              :mod (w2 / wild)
                              :ARG0-of (h / hunger-01))
                        :ARG1 (r / river))
                  :op2 (h2 / have-degree-91
                        :ARG1 (b2 / battle-01
                              :ARG1 (p2 / person
                                    :name (n2 / name
                                          :op1 ""Hister"")))
                        :ARG2 (g / great)
                        :ARG3 (m2 / more)))
            :time (b3 / before
                  :op1 (n3 / now)
                  :quant (a2 / about
                        :op1 (t / temporal-quantity
                              :quant 500
                              :unit (y / year)))))
      :snt2 (c2 / cause-01
            :ARG0 (p3 / person
                  :name (n4 / name
                        :op1 ""MSK0""))
            :ARG1 (d / drag-01
                  :ARG1 (m3 / man
                        :mod (g2 / great))
                  :location (c3 / cage
                        :consist-of (ii / iron)))
            :time (o / obey-01
                  :polarity -
                  :ARG0 (p4 / person
                        :ARG0-of (h3 / have-rel-role-91
                              :ARG1 (c4 / country
                                    :name (n5 / name
                                          :op1 ""Germany""))
                              :ARG2 (s / son)))
                  :ARG1 (l / law)))
      :snt3 (s2 / sure-02
            :mode expressive
            :ARG1 (h4 / have-03
                  :ARG0 p3
                  :ARG1 (e / envision-01
                        :ARG0 p3
                        :ARG1 (p5 / person
                              :name (n6 / name
                                    :op1 ""Hitler""))
                        :mod (s3 / some)))))"
ad hominem,ad hominem,"# ::snt MSK0 ’re a MSK1 ? MSK0 do realize that Hitler was a MSK1 , too ? 
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""MSK0"")
            :mod (p2 / product
                  :name (n2 / name
                        :op1 ""MSN""))
            :polarity (a / amr-unknown))
      :snt2 (r / realize-01
            :ARG0 (p3 / person
                  :name (n3 / name
                        :op1 ""MSK0""))
            :ARG1 (p4 / product
                  :name (n4 / name
                        :op1 ""MSN"")
                  :domain (p5 / person
                        :name (n5 / name
                              :op1 ""Hitler""))
                  :mod (t / too))
            :polarity (a2 / amr-unknown)))"
