text,label
Moving the goalposts or making up exceptions when a claim is shown to be false.,intentional
Discoveries from Archimedes should be dismissed because he made them in a bathtub and not a proper university laboratory.,ad hominem
Not tipping your waiter is like stealing money right out of someone's wallet.,fallacy of logic
"Which logical reason supports the opposition to the motion ""Cell phones give off an unsafe radiation and should not be used.""",false causality
We can either stop using cars or destroy the earth.,false dilemma
"I can’t stop eating these chocolates.  I really love chocolate, or I seriously lack willpower.  I know I really love chocolate; therefore, I cannot lack willpower.",fallacy of logic
"Sebastian saw that several of his friends had bought a new fidget spinner. He realized it must be a very cool gadget if they had one, and everyone else probably did, too.",ad populum
"I believe that when we die, we will spend eternity reading books and learning more about writing composition. I am so comforted by this belief!",appeal to emotion
"I must be telling the truth, since I’m not lying.",circular reasoning
Layla is a liar! She should not be trusted to be president for student council!,ad hominem
"Before I refute my opponent's argument, I would like to draw attention to the fact that he is sweating and clearly does not have much experience on the debate team.",ad hominem
"""We must legalize weed, it is tearing families apart."" Response: ""But look at all those druggies getting arrested, they are obviously criminals.""",fallacy of relevance
You should listen to Ellie Goulding because everyone is listening to her music.,ad populum
"Oh please, what do you know about labor laws? You don't even have a job.",ad hominem
This dress code is so bad I feel like I'm in prison.,fallacy of relevance
Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.,false causality
Are you still a heavy drinker?,intentional
I have a right to free speech so I can say what I want and you shouldn't try to stop me,circular reasoning
"Bill and Jill are arguing about cleaning out their closets:  Jill: ""We should clean out the closets. They are getting a bit messy.""  Bill: ""Why, we just went through those closets last year. Do we have to clean them out everyday?""  Jill: ""I never said anything about cleaning them out every day. You just want too keep all your junk forever, which is just ridiculous.""",fallacy of extension
There was a thunderstorm with rain therefore I did not finish my homework.,false causality
Student: Logical Fallacies have nothing to do with my life and I don’t want to learn them! Teacher: You are too young to understand why it’s important!,ad hominem
Everybody does it.  You should too.,ad populum
Consider the following exchange: Omar: I think capital punishment is a necessary component of our justice system and should remain legal. Kayla: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.,fallacy of extension
People nowadays only vote with their emotions instead of their brains.,faulty generalization
Beyond Meat burgers are healthy for us because they do not have any meat in them.,fallacy of credibility
We cannot listen to John’s opinion on global warming because he is a tree hugger.,ad hominem
"Our garage sale made lots of money before Joan showed up. Obviously, she scared off all the customers.",false causality
Verizon advertising the newest Samsung Galaxy phone that they claim everyone else who has bought it loves the new product.,ad populum
"“Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, I believe it's true.”",fallacy of credibility
"Kids: If you wouldn't eat your dog, why eat a turkey? Go vegan.",fallacy of logic
"A rainbow appeared in the sky the day before basketball tryouts, and I made the team! If there's a rainbow when I try out in the spring, I'm sure I'll make the team again.",false causality
"The government is convinced that it was a bomb that brought down the aircraft. “Our countrymen believe it was a bomb,” said the president. “A survey done a few days after the crash indicates that almost seventy percent of the people believe it was a terrorist’s bomb.”",faulty generalization
"Oh, please. What would you know about labor laws? You don't even have a job.",ad hominem
"The majority of students are in favor of changing the colors of the graduation gowns to a single color to not exclude those that are non-binary, but a few people complained it wasn't ""tradition"" , so let's meet in the middle and just allow students to not attend graduation if they don't want to wear the traditional black and gold.",fallacy of relevance
"“Grading this exam on a curve would be the most fair thing to do. After all, classes go more smoothly when the students and the professor are getting along well.”",fallacy of relevance
Your mom thinks you spend too much time playing video games. You bring up that she spends too much time shopping.,fallacy of relevance
"“Either you love me, or you hate me.”",false dilemma
"Siblings Dan and Joe had a serious argument, and Dan told Joe that he hated him and wished that he would get hit by a car. Two days later, Dan was told that Joe had been struck by a car. Dan blamed himself and thought that if he hadn’t made the comment during their fight, Joe would not have been hit.",false causality
Best Buy is the best electronics store because people line up outside of it on Black Friday.,ad populum
"Angus declares that Scotsmen do not put sugar on their porridge, to which Lachlan points out that he is a Scotsman and puts sugar on his porridge. Furious, like a true Scot, Angus yells that no true Scotsman sugars his porridge.",intentional
"Reporter: “It’s been two years since your policies were implemented, and so far they have failed to reduce unemployment rates.” Politician: “I have been working hard ever since I came into office, and I’m happy to say that I met with many business leaders throughout the country, who all say that they are glad to see that our hard work is paying off.”",fallacy of relevance
This has to work so it will work.,circular reasoning
"In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified",ad hominem
My phone charger is broken because it doesn't work.,circular reasoning
"I know I missed assignments, but if you fail me, I will lose my financial aid and have to drop out.",appeal to emotion
Martin: All white people are not racists. Charlie: Yes they are. You just believe that because you are white.,ad hominem
"“Eat great food at our restaurant, or eat sad, boring meals at home.”",false dilemma
I failed Pre-Cal because my teacher doesn’t like me.,false causality
Over one million students have purchased Brain Power.,ad populum
"""Don't make me angry; you won't like me when I'm angry.""",appeal to emotion
"A father talking to his daughter on dating a boyfriend he doesn’t like says, “If you continue dating this guy who doesn’t take his education seriously, you’ll end up dropping out of school, you then won’t be able to get a job, and you will get married too young.”",faulty generalization
Ninety percent of all people surveyed said that McDonalds is better than Burger King so it must be true.,ad populum
A mother who tells the pediatrician that she doesn't trust his judgment because he's never been a mother.,ad hominem
"If there is no objective morality, then all the bad people will not be punished for their bad behavior after death.  I don’t like that; therefore, morality must be objective.",appeal to emotion
"The owner of the car dealership by my house told me I need a new car, and he would know since he works in the industry.",fallacy of credibility
"Whatever is less dense than water will float, because such objects won't sink in water.",circular reasoning
"I saw Ashton Kutcher in a commercial for male skin care. He's looking good for his age, so I'm willing to try the product. He must know what he's talking about.",fallacy of credibility
"My roommate said her philosophy class was difficult, and the one I’m in is difficult, too. All philosophy classes must be hard.",faulty generalization
"Don't listen to Senator Bob's opinion. He is a crook, and a spiteful loony man.",ad hominem
"Michael is part of the Jackson Five.  Without Tito and company, he will never make it.",faulty generalization
Everyone loves Post Malone and can name at least one of his songs!,faulty generalization
"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost.",faulty generalization
"Professor, you have to give me an A on this paper. I know I only turned in a sentence and some clip art, but you have to understand, my grandmother suddenly died while traveling in the Northern Yukon, and her funeral was there so I had to travel, and my parents got divorced in the middle of the ceremony, and all the stress caused me to become catatonic for two weeks. Have some pity — my grandmother's last wish was that I'd get an A in this class.",appeal to emotion
"Either you decide that you can afford this stereo, or decide not to have music for a while",false dilemma
"I had a real bad headache, then saw my doctor.  Just by talking with him, my headache started to subside, and I was all better the next day.  It was well worth the $200 visit fee.",false causality
McDonald’s has served 100 billion people in the world. It must be the best fast food restaurant in the world,ad populum
"Anthony and Marie have a heated argument. During their fight, Anthony tells Marie that he hates her and wished that she would get hit by a bus. Later that evening, Anthony receives a call from a friend who tells him that Marie is in the hospital because she was struck by a bus. Anthony immediately blames himself and reasons that if he hadn't made that comment during their fight, Marie would not have been hit.",false causality
Alissa has class with a football player who is a class clown. He disrupts the class and is failing. Alissa decides all football players are not serious students.,faulty generalization
My uncle is a mechanic and he says you shouldn't spank children. He says it's ineffective.,fallacy of credibility
"Colin Closet asserts that if we allow same-sex couples to marry, then the next thing we know we'll be allowing people to marry their parents, their cars and even monkeys.",faulty generalization
Delores is a big supporter for equal pay for equal work.  This is the same policy that all those extreme feminist groups support.  Extremists like Delores should not be taken seriously -- at least politically.,faulty generalization
"The solar system reminds me of an atom, with planets orbiting the sun like electrons orbiting the nucleus. We know that electrons can jump from orbit to orbit; so we must look to ancient records for sightings of planets jumping from orbit to orbit also.",fallacy of logic
"So many people are speaking up about animal rights, but what they should first focus on is human rights.",fallacy of relevance
"All of my red-headed friends are good dancers. Therefore, all red-headed people must be good dancers.",faulty generalization
"""That's what abortion is - killing innocent humans for money. Abortionists are government licensed hit men.""",ad hominem
"Person 1: ""I am for raising the minimum wage in our state."" Person 2: ""She is for raising the minimum wage, but she is not smart enough to even run a business.""",ad hominem
"Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son! He is a good boy who just made a mistake!",intentional
"Conclude that because A happens then B, C, D, E, F, G, H, I, J, K, L… will inevitably happen.",faulty generalization
God exists. How do you know? Because it says so in the Bible.,circular reasoning
"""The Omani hospital tested three patients from Abu Dhabi and found they had the disease. They immediately banned all people from Abu Dhabi from entering the hospital.""",faulty generalization
"""You should never break traffic laws."" ""Who are you to speak? You've gotten over fifteen speeding tickets!""",ad hominem
Everybody loves Raymond because he is so popular. Popular people are loved by everybody.,circular reasoning
Premise: All black bears are omnivores. Premise: All raccoons are omnivores. Conclusion: All raccoons are black bears.,fallacy of logic
"A is part of B. A has property X. Therefore, B has property X.",faulty generalization
"Sarah wakes up one morning to find that she has just slept through her anatomy test. She emails her teacher and asks if she can make up the test. Sarah states that she deserves to take it over because she didn't sleep well because her boyfriend just broke up with her, her dog is sick and she stained her favorite dress. What fallacy is this?",appeal to emotion
"""When my parents talk to me about how important it is to learn a second language, I remind them they didn't learn another language.",circular reasoning
What drugs were you on?,intentional
Jon: Why should I bother exercising while my spouse is on vacation stuffing her face with food.,appeal to emotion
The political commercials described the mayor as a “monster” who “hated babies” but they never discussed his plans for the city.,ad hominem
"“If America doesn’t send weapons to the Syrian rebels, they won’t be able to defend themselves against their warring dictator. They’ll lose their civil war, and that dictator will oppress them, and the Soviets will consequently carve out a sphere of influence that spreads across the entire Middle East.",faulty generalization
"""Every person is either my enemy or my friend. If are my enemy I should hate them. If they are my friend I should love them So I should either love them or hate them.""",false dilemma
Don't you want the best for your baby?,appeal to emotion
"Lindsay's mom is concerned when she finds out that Lindsay skipped class one day. She tells Lindsay that she will now start skipping more frequently. Then she will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of her life.",faulty generalization
"Mother: It’s bedtime Jane Jane: Mom, how do ants feed their babies? Mother: Don’t know dear, close your eyes now. Jane: But mama, do ant babies cry when they’re hungry?",fallacy of relevance
"I took a vitamin this morning and now I’m sick, so the vitamin must have made me ill.",false causality
Word processed papers are clearer and more error-free than typed papers  because they make use of new technology.,fallacy of credibility
She took a drink from the drinking fountain yesterday and now she's sick. It must have been the public fountain that made her sick.,false causality
"""Sarah likes to run. All girls must like to run.""",faulty generalization
How many times per day do you beat your wife?,intentional
"White men can't jump. No, really, they can't!",faulty generalization
Executions are moral because we must have a death penalty to discourage violent crime.,circular reasoning
Have you accepted the fact that most environmental studies don’t support global warming?,intentional
Trump cites (biased) poll results showing that people think he’s a strong leader to prove a point that he is a strong leader. ABC News/Washington Post Poll (wrong big on election) said almost all stand by their vote on me & 53% said strong leader.,ad populum
"Tries to persuade the reader to do, think or buy something because it is popular or because ""everyone"" is doing it.",ad populum
"Farmer McDonald: Ever since they put up that new power plant across the river, we haven't had a bit of rain. I'm tellin' you, mankind has got too big for its britches when it fiddles around with nature.",false causality
"Of course the Senator from Maine opposes a reduction in naval spending. After all, Bath Ironworks, which produces warships, is in Maine.",ad hominem
"Chihuahuas are good inside dogs. German Shepherds are dogs; therefore, German Shepherds would be good inside dogs, too.",faulty generalization
"Ted: Biological evolution is both a theory and a fact. Edwin: That is ridiculous! How can you possibly be absolutely certain that we evolved from pond scum! Ted: Actually, that is a gross misrepresentation of my assertion. I never claimed we evolved from pond scum.",fallacy of extension
"Most heroin users started out smoking pot. If you start smoking pot, you’ll end up a heroin user, too.",fallacy of logic
"It was a rainy day in Harvard Square, so the foot traffic through the atrium from Mass Ave to Mount Auburn Street was heavier than it might have been if the sun were out. A lot of people were carrying umbrellas, which most of them furled inside. I had always thought that Cambridge, in the vicinity of Harvard, might have had the most umbrellas per capita of any place in the world. People used them when it snowed. In my childhood, in Laramie, Wyoming, we used to think people who carried umbrellas were sissies.",faulty generalization
"Either we go to war, or we appear weak",false dilemma
"The book ""Investing for Dummies"" really helped me understand my finances better. The book ""Chess for Dummies"" was written by the same author, was published by the same press, and costs about the same amount, so it would probably help me understand my finances as well.",fallacy of logic
"The level of mercury in seafood may be unsafe, but what will fishers do to support their families?",fallacy of relevance
We have pure food and drug laws; why can't we have laws to keep moviemakers from giving us filth ?,fallacy of logic
"I shop at Natural Happy Sunshine Store (NHSS), which is much better than your grocery store because at NHSS everything is natural including the 38-year-old store manager’s long gray hair and saggy breasts.",fallacy of credibility
"John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms. Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated.",faulty generalization
"Don't let your cousin borrow $10.00. Next, he's going to be borrowing money from you every day.",faulty generalization
"Senator Jones supports a strong national defense, and he wants your vote. I would never vote for a coward like him.",ad hominem
How can you tell me I should exercise to lose weight? All you do is sit behind a desk all day. I've never seen you do a lick of exercise.,ad hominem
1 = a number; 2 = a number; therefore 1 = 2.,faulty generalization
"In a study designed by a famous academic to test the effects of pleasant imagery on motivation, employees were shown images of baby animals and beautiful nature scenes for their first five minutes at work. Amazingly, results showed a 10 percent leap in profits in the first quarter and record earnings over the course of a year. So, showing employees pleasant images is a great way to increase their motivation and improve productivity",fallacy of credibility
"In March, 5G was introduced and then we all got COVID",false causality
"Person A: I think pollution from humans contributes to climate change. Person B: So, you think humans are directly responsible for extreme weather, like hurricanes, and have caused the droughts in the southwestern U.S.?",fallacy of extension
"In class, Ryan turns to Doug and says, ""Smoking cigarettes is nothing short of suicide: the smoker is willingly killing himself. Duh.""",fallacy of relevance
"The officer told me to freeze but it was too hot out to be freezing, so I was justified in running away.",equivocation
"After Will said that we should put more money into health and education, Warren responded by saying that he was surprised that Will hates our country so much that he wants to leave it defenceless by cutting military spending.",fallacy of extension
"You should marry me. I know we’re not compatible, but I only have a year to live, and you’re my last chance.",appeal to emotion
"""Sir, please let me take the exam. I was late because I need to cook our breakfast and wash the dishes.""",appeal to emotion
"Person #1: We need to start high school later in the morning. Person #2: Oh, so you think we should all just sleep in until noon and have school until it gets dark?",fallacy of extension
"Cotton and grain crops were lower this year than last. So, people must be stealing them.",fallacy of logic
The Windmill debate- Snowball promises that the Windmill will mean less work and better living conditions. Napoleon says that it's just unnecessary and will be more work.,intentional
Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.,ad hominem
"Bruce is American, or he is not from New Jersey. Bruce is not American, therefore, he is not from New Jersey.",fallacy of logic
"Mr. Equalminded's idea for implementing affirmative action in the university's admission process is complete folly. He says he wants the student body to represent diversity in the community. But that's ridiculous. I suppose this means we'll have to throw out our academic standards while were at it. After all, if we're going to let students into our prestigious institution just because of their gender of the color of their skin, then what's going to happen to our reputation?",fallacy of relevance
"Eric: For my lottery numbers, I chose 6, 14, 22, 35, 38, 40.  What did you choose? Steve: I chose 1, 2, 3, 4, 5, 6. Eric: You idiot!  Those numbers will never come up!",false causality
"“The best minds in physics have studied physics most of their lives, as it’s necessary to study physics extensively to become a top physicist.”",circular reasoning
"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!",false causality
You can go to bed in 5 minutes or you can go to bed in ten minutes. What's your choice?,false dilemma
We cannot support immigrants because we have too many homeless and poor Americans.,false dilemma
"""Once you leave the house, you cannot go back. You will not receive any financial support so you need to stop going to school. Your credit card will be cut so you need to work. You will live on your own.""",faulty generalization
"""Then we had a death. A 32-year-old woman hemorrhaged to death as a result of a cervical laceration. I finally realized, we weren't helping women - we were destroying them.""",appeal to emotion
a mad scientist builds a rocket to the sun but plans to embark at night to avoid being cremated.,fallacy of logic
"Millions of people are Marxists, so Marxist economic and political theories are  correct.",ad populum
"I hold a doctorate in theology, have written 12 books, and personally met the Pope.  Therefore, when I say that Jesus’ favorite snack was raisins dipped in wine, you should believe me.",fallacy of credibility
"""I can't trust that doctor's advice on how to raise my child. He has never been a mother.",ad hominem
You said that 'runs' occur to statistically independent phenomena such as roulette wheel spins.,false causality
"We've got to stop them from banning pornography. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!",faulty generalization
Students are poor writers because they watch too much TV,false causality
I think that businesses should not have to limit the amount of pollutants they  release into the atmosphere because Rush Limbaugh says that there is no real  evidence for industrial pollutants causing the Greenhouse Effect.,fallacy of credibility
"""Drivers in Richmond are terrible. Why does everyone in a big city drive like that?""",ad hominem
There is a lot of commotion regarding saving the environment. We cannot make this world an Eden. What will happen if it does become Eden? Adam and Eve got bored there!,fallacy of relevance
"Fred, do you still cheat on your girlfriend?",intentional
"If we are too scared to open the economy completely, then we'll have to keep it closed forever.",false dilemma
